date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-14:44:04,Octree,Point,NoEncoding,12219779,neighborsPtr,circle,0.5,10000,random,5,0.142314,0.0284629,0.0279928,0.00106885,1,0.0330855,49,0,40,dynamic,963970,934444,689650
2025-07-09-14:44:04,Octree,Point,NoEncoding,12219779,neighborsPtr,circle,1,10000,random,5,0.194414,0.0388828,0.0388705,0.000309633,1,0.0389092,199,0,40,dynamic,1354736,1259481,984201
2025-07-09-14:44:05,Octree,Point,NoEncoding,12219779,neighborsPtr,circle,2,10000,random,5,0.32459,0.0649181,0.0649345,0.00044374,1,0.065218,771,0,40,dynamic,2384144,2116920,1678932
2025-07-09-14:44:05,Octree,Point,NoEncoding,12219779,neighborsPtr,circle,3,10000,random,5,0.4764,0.0952801,0.0949583,0.000533094,1,0.0962053,1691,0,40,dynamic,3610395,3174164,2477970
2025-07-09-14:44:06,Octree,Point,NoEncoding,12219779,neighborsPtr,sphere,0.5,10000,random,5,0.0451357,0.00902714,0.00895583,0.000275081,1,0.0113968,20,0,40,dynamic,298084,291082,234697
2025-07-09-14:44:06,Octree,Point,NoEncoding,12219779,neighborsPtr,sphere,1,10000,random,5,0.0834154,0.0166831,0.0164173,0.000529018,1,0.0164609,87,0,40,dynamic,544652,510138,434939
2025-07-09-14:44:06,Octree,Point,NoEncoding,12219779,neighborsPtr,sphere,2,10000,random,5,0.198874,0.0397748,0.0405598,0.00104088,1,0.0409285,375,0,40,dynamic,1327696,1155010,1009366
2025-07-09-14:44:06,Octree,Point,NoEncoding,12219779,neighborsPtr,sphere,3,10000,random,5,0.338487,0.0676974,0.066792,0.00181055,1,0.0669072,905,0,40,dynamic,2473685,2060777,1738447
2025-07-09-14:44:06,Octree,Point,NoEncoding,12219779,neighborsPtr,square,0.5,10000,random,5,0.131986,0.0263971,0.0264476,0.000213082,1,0.0266747,61,0,40,dynamic,1076981,1032026,773816
2025-07-09-14:44:07,Octree,Point,NoEncoding,12219779,neighborsPtr,square,1,10000,random,5,0.183949,0.0367897,0.0368557,0.000308653,1,0.0377575,249,0,40,dynamic,1488015,1366185,1077593
2025-07-09-14:44:07,Octree,Point,NoEncoding,12219779,neighborsPtr,square,2,10000,random,5,0.314611,0.0629222,0.0616878,0.00278785,1,0.061177,970,0,40,dynamic,2508726,2192266,1727071
2025-07-09-14:44:08,Octree,Point,NoEncoding,12219779,neighborsPtr,square,3,10000,random,5,0.446309,0.0892618,0.0894421,0.000445595,1,0.0996841,2121,0,40,dynamic,3872897,3410687,2604108
2025-07-09-14:44:08,Octree,Point,NoEncoding,12219779,neighborsPtr,cube,0.5,10000,random,5,0.0382707,0.00765414,0.00765481,8.69008e-05,1,0.00818902,27,0,40,dynamic,252939,248668,196295
2025-07-09-14:44:08,Octree,Point,NoEncoding,12219779,neighborsPtr,cube,1,10000,random,5,0.0729147,0.0145829,0.0145318,0.000117194,1,0.0143938,119,0,40,dynamic,462301,430174,364092
2025-07-09-14:44:08,Octree,Point,NoEncoding,12219779,neighborsPtr,cube,2,10000,random,5,0.16603,0.033206,0.0331916,0.000245869,1,0.0334921,539,0,40,dynamic,1269044,1089506,941201
2025-07-09-14:44:08,Octree,Point,NoEncoding,12219779,neighborsPtr,cube,3,10000,random,5,0.295785,0.0591571,0.0593075,0.000349104,1,0.0595091,1337,0,40,dynamic,2474438,2069516,1715222
2025-07-09-14:44:10,UnibnOctree,Point,NoEncoding,12219779,neighborsUnibn,sphere,0.5,10000,random,5,0.0636069,0.0127214,0.0127352,7.83088e-05,1,0.010804,20,0,40,dynamic,210637,189750,155158
2025-07-09-14:44:10,UnibnOctree,Point,NoEncoding,12219779,neighborsUnibn,sphere,1,10000,random,5,0.0936575,0.0187315,0.0187663,0.000123305,1,0.0183929,87,0,40,dynamic,405009,346874,293913
2025-07-09-14:44:10,UnibnOctree,Point,NoEncoding,12219779,neighborsUnibn,sphere,2,10000,random,5,0.147558,0.0295116,0.0289379,0.00145368,1,0.0327884,375,0,40,dynamic,918969,719891,638964
2025-07-09-14:44:10,UnibnOctree,Point,NoEncoding,12219779,neighborsUnibn,sphere,3,10000,random,5,0.225138,0.0450275,0.0449379,0.000697352,1,0.0453715,905,0,40,dynamic,1610730,1200524,1057578
2025-07-09-14:44:10,UnibnOctree,Point,NoEncoding,12219779,neighborsUnibn,cube,0.5,10000,random,5,0.0399205,0.0079841,0.00785529,0.000313181,1,0.0113831,27,0,40,dynamic,236048,211707,175276
2025-07-09-14:44:10,UnibnOctree,Point,NoEncoding,12219779,neighborsUnibn,cube,1,10000,random,5,0.0707277,0.0141455,0.0141507,6.19717e-05,1,0.0141035,119,0,40,dynamic,438463,370024,319711
2025-07-09-14:44:11,UnibnOctree,Point,NoEncoding,12219779,neighborsUnibn,cube,2,10000,random,5,0.148924,0.0297848,0.0298026,9.1051e-05,1,0.029912,539,0,40,dynamic,1086554,830397,733019
