date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-14:35:03,Octree,Point,NoEncoding,10000000,neighborsPtr,circle,0.5,10000,random,5,0.977299,0.19546,0.196091,0.00423627,1,0.249812,5205,0,40,dynamic,7706811,7441884,5713419
2025-07-09-14:35:06,Octree,Point,NoEncoding,10000000,neighborsPtr,circle,1,10000,random,5,1.99493,0.398986,0.393364,0.0111012,1,0.417519,14872,0,40,dynamic,16833641,16449631,11980417
2025-07-09-14:35:12,Octree,Point,NoEncoding,10000000,neighborsPtr,circle,2,10000,random,5,4.9547,0.99094,0.992315,0.0184259,1,1.02016,45063,0,40,dynamic,43699702,43668810,31345845
2025-07-09-14:35:22,Octree,Point,NoEncoding,10000000,neighborsPtr,circle,3,10000,random,5,8.8273,1.76546,1.76997,0.0187348,1,1.80028,88869,0,40,dynamic,83655025,84348933,62025792
2025-07-09-14:35:23,Octree,Point,NoEncoding,10000000,neighborsPtr,sphere,0.5,10000,random,5,0.33351,0.0667019,0.0666664,0.000322292,1,0.0674333,2052,0,40,dynamic,3890836,3505028,2712209
2025-07-09-14:35:24,Octree,Point,NoEncoding,10000000,neighborsPtr,sphere,1,10000,random,5,1.00725,0.201451,0.201709,0.000790388,1,0.199904,8241,0,40,dynamic,13067922,12047988,8009570
2025-07-09-14:35:28,Octree,Point,NoEncoding,10000000,neighborsPtr,sphere,2,10000,random,5,3.55066,0.710131,0.707025,0.00420441,1,0.7006,32557,0,40,dynamic,44398266,41495815,26604712
2025-07-09-14:35:37,Octree,Point,NoEncoding,10000000,neighborsPtr,sphere,3,10000,random,5,7.67258,1.53452,1.53366,0.0117972,1,1.53593,71234,0,40,dynamic,88085580,82597408,54076320
2025-07-09-14:35:38,Octree,Point,NoEncoding,10000000,neighborsPtr,square,0.5,10000,random,5,0.781856,0.156371,0.155061,0.00269596,1,0.158402,6303,0,40,dynamic,8608026,8332287,6242731
2025-07-09-14:35:40,Octree,Point,NoEncoding,10000000,neighborsPtr,square,1,10000,random,5,1.72259,0.344518,0.342311,0.00383491,1,0.338742,18212,0,40,dynamic,18977011,18684796,12940958
