date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-14:47:28,Octree,Point,NoEncoding,10000000,neighborsPtr,circle,0.5,10000,random,5,2.26413,0.452826,0.448426,0.0111636,1,0.529663,13555,0,40,dynamic,17794690,17270164,13497468
2025-07-09-14:47:35,Octree,Point,NoEncoding,10000000,neighborsPtr,circle,1,10000,random,5,5.42421,1.08484,1.08628,0.0124908,1,1.13792,42141,0,40,dynamic,44773901,44182803,33307030
2025-07-09-14:47:52,Octree,Point,NoEncoding,10000000,neighborsPtr,circle,2,10000,random,5,14.3816,2.87632,2.87989,0.117081,1,3.08243,134883,0,40,dynamic,121261550,121411696,92130685
2025-07-09-14:48:23,Octree,Point,NoEncoding,10000000,neighborsPtr,circle,3,10000,random,5,25.1125,5.0225,4.99245,0.0579028,1,5.19148,269184,0,40,dynamic,234109085,236918853,180336028
2025-07-09-14:48:23,Octree,Point,NoEncoding,10000000,neighborsPtr,sphere,0.5,10000,random,5,0.652218,0.130444,0.130632,0.00120189,1,0.133854,4998,0,40,dynamic,8174989,7272428,5245703
2025-07-09-14:48:26,Octree,Point,NoEncoding,10000000,neighborsPtr,sphere,1,10000,random,5,2.21179,0.442358,0.441849,0.00324853,1,0.444863,20152,0,40,dynamic,28463167,25987439,17261384
2025-07-09-14:48:36,Octree,Point,NoEncoding,10000000,neighborsPtr,sphere,2,10000,random,5,8.39397,1.67879,1.68063,0.0129648,1,1.67657,80850,0,40,dynamic,98471933,90940939,60136250
2025-07-09-14:48:58,Octree,Point,NoEncoding,10000000,neighborsPtr,sphere,3,10000,random,5,17.8841,3.57682,3.57403,0.0246298,1,3.66813,179478,0,40,dynamic,202428451,187473475,129815457
2025-07-09-14:49:00,Octree,Point,NoEncoding,10000000,neighborsPtr,square,0.5,10000,random,5,1.71011,0.342023,0.342509,0.00280524,1,0.347635,16598,0,40,dynamic,18358770,17914695,13382476
2025-07-09-14:49:05,Octree,Point,NoEncoding,10000000,neighborsPtr,square,1,10000,random,5,4.39327,0.878654,0.88044,0.00579856,1,0.88593,51975,0,40,dynamic,45866639,45525722,33592695
2025-07-09-14:49:20,Octree,Point,NoEncoding,10000000,neighborsPtr,square,2,10000,random,5,12.7141,2.54283,2.54011,0.0192172,1,2.59725,166846,0,40,dynamic,123451177,125414159,93431479
2025-07-09-14:49:50,Octree,Point,NoEncoding,10000000,neighborsPtr,square,3,10000,random,5,24.4829,4.89657,4.91151,0.0278739,1,4.92367,333114,0,40,dynamic,199176719,202640403,154601241
2025-07-09-14:49:51,Octree,Point,NoEncoding,10000000,neighborsPtr,cube,0.5,10000,random,5,0.6811,0.13622,0.1363,0.00119827,1,0.135012,6656,0,40,dynamic,8285654,7360366,4966858
2025-07-09-14:49:53,Octree,Point,NoEncoding,10000000,neighborsPtr,cube,1,10000,random,5,2.22538,0.445075,0.443895,0.00329288,1,0.445652,26986,0,40,dynamic,27416680,24923826,16317082
