date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-17:52:42,Octree,Point,NoEncoding,721810646,neighborsPtr,circle,0.01,10000,random,5,1.39967,0.279935,0.257553,0.106711,1,0.840759,202,0,40,dynamic,2599257,2732898,2395231
2025-07-09-17:52:44,Octree,Point,NoEncoding,721810646,neighborsPtr,circle,0.05,10000,random,5,1.34835,0.269669,0.270928,0.0164742,1,0.292078,3212,0,40,dynamic,4932923,4952701,4213329
2025-07-09-17:52:47,Octree,Point,NoEncoding,721810646,neighborsPtr,circle,0.1,10000,random,5,2.14787,0.429573,0.434785,0.0223045,1,0.433227,9375,0,40,dynamic,8709170,8415116,6767509
2025-07-09-17:52:51,Octree,Point,NoEncoding,721810646,neighborsPtr,circle,0.2,10000,random,5,3.85239,0.770478,0.770126,0.0122589,1,0.798144,26474,0,40,dynamic,16720442,16593380,12761721
2025-07-09-17:52:51,Octree,Point,NoEncoding,721810646,neighborsPtr,sphere,0.01,10000,random,5,0.0249252,0.00498503,0.00505152,0.000171956,1,0.00500651,7,0,40,dynamic,110549,119835,84961
2025-07-09-17:52:51,Octree,Point,NoEncoding,721810646,neighborsPtr,sphere,0.05,10000,random,5,0.0732621,0.0146524,0.0143083,0.00122311,1,0.013219,189,0,40,dynamic,311597,324192,244289
2025-07-09-17:52:52,Octree,Point,NoEncoding,721810646,neighborsPtr,sphere,0.1,10000,random,5,0.160737,0.0321474,0.0324072,0.00100817,1,0.0301807,749,0,40,dynamic,657280,651387,507326
2025-07-09-17:52:52,Octree,Point,NoEncoding,721810646,neighborsPtr,sphere,0.2,10000,random,5,0.436884,0.0873768,0.0869379,0.00213851,1,0.0829951,2904,0,40,dynamic,1988920,2005164,1399816
2025-07-09-17:52:53,Octree,Point,NoEncoding,721810646,neighborsPtr,square,0.01,10000,random,5,0.669701,0.13394,0.134633,0.0016777,1,0.141099,247,0,40,dynamic,2489028,2771051,2414052
2025-07-09-17:52:54,Octree,Point,NoEncoding,721810646,neighborsPtr,square,0.05,10000,random,5,1.19277,0.238553,0.237222,0.00238865,1,0.237748,3886,0,40,dynamic,4619421,4913801,4138732
2025-07-09-17:52:57,Octree,Point,NoEncoding,721810646,neighborsPtr,square,0.1,10000,random,5,1.9695,0.393901,0.393331,0.00441876,1,0.393003,11228,0,40,dynamic,8578127,8801646,6919257
2025-07-09-17:53:01,Octree,Point,NoEncoding,721810646,neighborsPtr,square,0.2,10000,random,5,3.75763,0.751526,0.74815,0.00912026,1,0.752967,31445,0,40,dynamic,17499995,17464140,13282246
2025-07-09-17:53:01,Octree,Point,NoEncoding,721810646,neighborsPtr,cube,0.01,10000,random,5,0.0237822,0.00475643,0.00460566,0.0003709,1,0.00470209,11,0,40,dynamic,92614,98978,68030
2025-07-09-17:53:01,Octree,Point,NoEncoding,721810646,neighborsPtr,cube,0.05,10000,random,5,0.0680648,0.013613,0.0137694,0.000391806,1,0.0128305,272,0,40,dynamic,273725,277394,215282
2025-07-09-17:53:02,Octree,Point,NoEncoding,721810646,neighborsPtr,cube,0.1,10000,random,5,0.159229,0.0318459,0.0320913,0.00115358,1,0.0299885,1053,0,40,dynamic,668790,658974,493954
2025-07-09-17:53:02,Octree,Point,NoEncoding,721810646,neighborsPtr,cube,0.2,10000,random,5,0.433041,0.0866081,0.0878021,0.00254558,1,0.0832995,3984,0,40,dynamic,2125124,2145853,1448138
2025-07-09-17:54:47,UnibnOctree,Point,NoEncoding,721810646,neighborsUnibn,sphere,0.01,10000,random,5,0.175002,0.0350003,0.0412191,0.0153439,1,0.0489884,7,0,40,dynamic,125018,116600,87644
2025-07-09-17:54:48,UnibnOctree,Point,NoEncoding,721810646,neighborsUnibn,sphere,0.05,10000,random,5,0.153598,0.0307196,0.034926,0.00998147,1,0.0387944,189,0,40,dynamic,277578,245335,198145
2025-07-09-17:54:48,UnibnOctree,Point,NoEncoding,721810646,neighborsUnibn,sphere,0.1,10000,random,5,0.19805,0.0396099,0.0421595,0.00766088,1,0.0450022,749,0,40,dynamic,512098,458439,367484
2025-07-09-17:54:48,UnibnOctree,Point,NoEncoding,721810646,neighborsUnibn,sphere,0.2,10000,random,5,0.349492,0.0698983,0.0749404,0.0140402,1,0.0887582,2904,0,40,dynamic,1193564,1054512,766395
2025-07-09-17:54:48,UnibnOctree,Point,NoEncoding,721810646,neighborsUnibn,cube,0.01,10000,random,5,0.0239364,0.00478727,0.00483395,0.000217754,1,0.00489563,11,0,40,dynamic,122069,114966,85631
2025-07-09-17:54:48,UnibnOctree,Point,NoEncoding,721810646,neighborsUnibn,cube,0.05,10000,random,5,0.0567673,0.0113535,0.0114852,0.00026788,1,0.011058,272,0,40,dynamic,283921,265648,213395
2025-07-09-17:54:49,UnibnOctree,Point,NoEncoding,721810646,neighborsUnibn,cube,0.1,10000,random,5,0.113119,0.0226238,0.0229514,0.00079266,1,0.021584,1053,0,40,dynamic,556488,498138,395760
2025-07-09-17:54:49,UnibnOctree,Point,NoEncoding,721810646,neighborsUnibn,cube,0.2,10000,random,5,0.257195,0.0514389,0.0521102,0.00265556,1,0.0508372,3984,0,40,dynamic,1309763,1155463,844803
2025-07-09-17:58:46,PCLOctree,Point,NoEncoding,721810646,neighborsPCLOct,sphere,0.01,10000,random,5,0.221809,0.0443619,0.0473672,0.0188702,1,0.0800833,157,0,40,dynamic,215448,205559,144099
2025-07-09-17:58:46,PCLOctree,Point,NoEncoding,721810646,neighborsPCLOct,sphere,0.05,10000,random,5,0.0764527,0.0152905,0.0158456,0.00150933,1,0.0156448,459,0,40,dynamic,317213,288002,188045
2025-07-09-17:58:46,PCLOctree,Point,NoEncoding,721810646,neighborsPCLOct,sphere,0.1,10000,random,5,0.142682,0.0285363,0.0300439,0.00353823,1,0.0301438,1603,0,40,dynamic,737649,636347,337074
2025-07-09-17:58:47,PCLOctree,Point,NoEncoding,721810646,neighborsPCLOct,sphere,0.2,10000,random,5,0.25112,0.0502241,0.0523079,0.0053477,1,0.0532885,4155,0,40,dynamic,1427344,1159373,597449
2025-07-09-18:06:41,PCLKDTree,Point,NoEncoding,721810646,neighborsPCLKD,sphere,0.01,10000,random,5,0.0710823,0.0142165,0.0145151,0.00107068,1,0.0155959,157,0,40,dynamic,124618,78102,53559
2025-07-09-18:06:41,PCLKDTree,Point,NoEncoding,721810646,neighborsPCLKD,sphere,0.05,10000,random,5,0.0918967,0.0183793,0.0176531,0.001562,1,0.0200118,459,0,40,dynamic,313634,153872,91555
2025-07-09-18:06:42,PCLKDTree,Point,NoEncoding,721810646,neighborsPCLKD,sphere,0.1,10000,random,5,0.279193,0.0558385,0.0560853,0.00201087,1,0.0533641,1603,0,40,dynamic,1295809,640456,238345
2025-07-09-18:06:42,PCLKDTree,Point,NoEncoding,721810646,neighborsPCLKD,sphere,0.2,10000,random,5,0.706959,0.141392,0.138373,0.00746789,1,0.134137,4155,0,40,dynamic,3958090,2462412,631279
2025-07-09-18:11:39,NanoflannKDTree,Point,NoEncoding,721810646,neighborsNanoflann,sphere,0.01,10000,random,5,0.125586,0.0251172,0.0297231,0.0108255,1,0.0366543,7,0,40,dynamic,79740,79467,66793
2025-07-09-18:11:39,NanoflannKDTree,Point,NoEncoding,721810646,neighborsNanoflann,sphere,0.05,10000,random,5,0.109714,0.0219428,0.0243865,0.00600603,1,0.0281419,189,0,40,dynamic,262327,235886,192159
2025-07-09-18:11:39,NanoflannKDTree,Point,NoEncoding,721810646,neighborsNanoflann,sphere,0.1,10000,random,5,0.157872,0.0315744,0.0333833,0.00457242,1,0.0358529,749,0,40,dynamic,627260,554420,398201
2025-07-09-18:11:40,NanoflannKDTree,Point,NoEncoding,721810646,neighborsNanoflann,sphere,0.2,10000,random,5,0.33679,0.0673579,0.0673222,0.00650277,1,0.0760525,2904,0,40,dynamic,1967255,1873964,1022560
2025-07-09-18:17:05,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,circle,0.01,10000,random,5,0.642689,0.128538,0.128062,0.00533231,1,0.11257,212,0,40,dynamic,1755094,2641186,1763611
2025-07-09-18:17:07,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,circle,0.05,10000,random,5,1.23542,0.247084,0.246924,0.00346345,1,0.241058,3184,0,40,dynamic,3622283,5262495,3390889
2025-07-09-18:17:09,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,circle,0.1,10000,random,5,2.11635,0.42327,0.420889,0.00466784,1,0.417446,9307,0,40,dynamic,6284884,8923795,5561100
2025-07-09-18:17:14,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,circle,0.2,10000,random,5,4.1713,0.83426,0.838271,0.0100989,1,0.821186,26055,0,40,dynamic,12978917,17821714,10834289
2025-07-09-18:17:14,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,sphere,0.01,10000,random,5,0.0193832,0.00387665,0.00388753,2.78952e-05,1,0.00406891,7,0,40,dynamic,67527,83222,53075
2025-07-09-18:17:14,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,sphere,0.05,10000,random,5,0.0651574,0.0130315,0.0128941,0.000393776,1,0.0127784,193,0,40,dynamic,196171,255609,171175
2025-07-09-18:17:14,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,sphere,0.1,10000,random,5,0.158959,0.0317917,0.0314457,0.00117833,1,0.030718,768,0,40,dynamic,488975,629940,402330
2025-07-09-18:17:15,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,sphere,0.2,10000,random,5,0.443867,0.0887733,0.0874069,0.00243367,1,0.0866072,2963,0,40,dynamic,1426617,1801100,1101444
2025-07-09-18:17:16,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,square,0.01,10000,random,5,0.677867,0.135573,0.135337,0.000552,1,0.134404,257,0,40,dynamic,1743733,2675602,1743279
2025-07-09-18:17:17,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,square,0.05,10000,random,5,1.27056,0.254113,0.253252,0.0028916,1,0.250905,3840,0,40,dynamic,3467113,5082362,3263749
2025-07-09-18:17:20,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,square,0.1,10000,random,5,2.1624,0.43248,0.430328,0.00516633,1,0.426955,11141,0,40,dynamic,6455488,8896054,5425929
2025-07-09-18:17:25,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,square,0.2,10000,random,5,4.26641,0.853282,0.853792,0.00967247,1,0.846996,30956,0,40,dynamic,12921111,17261312,10573979
2025-07-09-18:17:25,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,cube,0.01,10000,random,5,0.0190968,0.00381937,0.00380998,2.6086e-05,1,0.00403861,11,0,40,dynamic,66302,82033,51653
2025-07-09-18:17:25,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,cube,0.05,10000,random,5,0.0653944,0.0130789,0.0128517,0.00040642,1,0.0126855,276,0,40,dynamic,212005,270975,173937
2025-07-09-18:17:25,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,cube,0.1,10000,random,5,0.160075,0.0320151,0.0315733,0.00129207,1,0.0309868,1079,0,40,dynamic,532536,667203,411109
2025-07-09-18:17:26,Octree,Point,MortonEncoder3D,721810646,neighborsPtr,cube,0.2,10000,random,5,0.449432,0.0898865,0.0883194,0.00265159,1,0.0881467,4052,0,40,dynamic,1520042,1868919,1099886
2025-07-09-18:17:50,LinearOctree,Point,MortonEncoder3D,721810646,neighbors,circle,0.01,10000,random,5,0.436425,0.087285,0.0873892,0.000763437,1,0.0880181,212,0,40,dynamic,995309,1325080,1006253
2025-07-09-18:17:51,LinearOctree,Point,MortonEncoder3D,721810646,neighbors,circle,0.05,10000,random,5,0.880099,0.17602,0.1766,0.0025404,1,0.175767,3184,0,40,dynamic,1947026,2571244,1680304
2025-07-09-18:17:53,LinearOctree,Point,MortonEncoder3D,721810646,neighbors,circle,0.1,10000,random,5,1.56131,0.312263,0.313993,0.00370597,1,0.308248,9307,0,40,dynamic,3592617,4586403,2750989
2025-07-09-18:17:57,LinearOctree,Point,MortonEncoder3D,721810646,neighbors,circle,0.2,10000,random,5,3.14665,0.629329,0.627761,0.00707528,1,0.617549,26055,0,40,dynamic,6822804,8727795,5030708
2025-07-09-18:17:57,LinearOctree,Point,MortonEncoder3D,721810646,neighborsPrune,circle,0.01,10000,random,5,0.432673,0.0865346,0.0868296,0.000600111,1,0.0862763,212,0,40,dynamic,988748,1330307,990141
2025-07-09-18:17:58,LinearOctree,Point,MortonEncoder3D,721810646,neighborsPrune,circle,0.05,10000,random,5,0.809566,0.161913,0.162124,0.00161468,1,0.16111,3184,0,40,dynamic,1787973,2404687,1654644
2025-07-09-18:18:00,LinearOctree,Point,MortonEncoder3D,721810646,neighborsPrune,circle,0.1,10000,random,5,1.29224,0.258449,0.258889,0.00195881,1,0.254719,9307,0,40,dynamic,3071791,4043246,2472996
2025-07-09-18:18:03,LinearOctree,Point,MortonEncoder3D,721810646,neighborsPrune,circle,0.2,10000,random,5,2.26018,0.452036,0.451575,0.00529197,1,0.449636,26055,0,40,dynamic,5773877,7460343,4202076
2025-07-09-18:18:03,LinearOctree,Point,MortonEncoder3D,721810646,neighborsStruct,circle,0.01,10000,random,5,0.436976,0.0873953,0.0866805,0.00173761,1,0.0863111,212,0,40,dynamic,996314,1356771,1022840
2025-07-09-18:18:04,LinearOctree,Point,MortonEncoder3D,721810646,neighborsStruct,circle,0.05,10000,random,5,0.777641,0.155528,0.155275,0.000850219,1,0.154603,3184,0,40,dynamic,1575701,2173019,1580083
2025-07-09-18:18:05,LinearOctree,Point,MortonEncoder3D,721810646,neighborsStruct,circle,0.1,10000,random,5,1.18585,0.237169,0.23729,0.000917803,1,0.234329,9307,0,40,dynamic,2366502,3273377,2303078
2025-07-09-18:18:08,LinearOctree,Point,MortonEncoder3D,721810646,neighborsStruct,circle,0.2,10000,random,5,1.91099,0.382199,0.382586,0.00133362,1,0.379583,26055,0,40,dynamic,3639030,5153021,3572519
2025-07-09-18:18:08,LinearOctree,Point,MortonEncoder3D,721810646,neighbors,sphere,0.01,10000,random,5,0.0326877,0.00653754,0.00655217,3.37821e-05,1,0.00601643,7,0,40,dynamic,40509,40106,28177
2025-07-09-18:18:08,LinearOctree,Point,MortonEncoder3D,721810646,neighbors,sphere,0.05,10000,random,5,0.0429098,0.00858195,0.00842939,0.000285399,1,0.0121437,193,0,40,dynamic,98116,107657,79430
2025-07-09-18:18:08,LinearOctree,Point,MortonEncoder3D,721810646,neighbors,sphere,0.1,10000,random,5,0.108308,0.0216615,0.0214076,0.000768539,1,0.021305,768,0,40,dynamic,264677,298095,191078
2025-07-09-18:18:08,LinearOctree,Point,MortonEncoder3D,721810646,neighbors,sphere,0.2,10000,random,5,0.318368,0.0636735,0.0631863,0.00113813,1,0.0625869,2963,0,40,dynamic,781508,881840,512352
2025-07-09-18:18:08,LinearOctree,Point,MortonEncoder3D,721810646,neighborsPrune,sphere,0.01,10000,random,5,0.0110395,0.00220789,0.0022209,2.30153e-05,1,0.00233476,7,0,40,dynamic,37836,38072,27013
