date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-15:07:25,Octree,Point,NoEncoding,29697591,neighborsPtr,circle,0.01,10000,random,5,0.26679,0.053358,0.0515143,0.00303079,1,0.12463,447,0,40,dynamic,1314234,1776579,1073758
2025-07-09-15:07:26,Octree,Point,NoEncoding,29697591,neighborsPtr,circle,0.05,10000,random,5,0.88285,0.17657,0.176424,0.00224419,1,0.191863,6351,0,40,dynamic,5400669,6713487,3903838
2025-07-09-15:07:29,Octree,Point,NoEncoding,29697591,neighborsPtr,circle,0.1,10000,random,5,2.02892,0.405784,0.404004,0.00419675,1,0.426233,20291,0,40,dynamic,12273438,14940619,8808876
2025-07-09-15:07:35,Octree,Point,NoEncoding,29697591,neighborsPtr,circle,0.2,10000,random,5,5.33487,1.06697,1.06125,0.0174426,1,1.11967,63978,0,40,dynamic,33892673,42140629,25033227
2025-07-09-15:07:35,Octree,Point,NoEncoding,29697591,neighborsPtr,sphere,0.01,10000,random,5,0.0403379,0.00806758,0.00787554,0.000480175,1,0.0102566,69,0,40,dynamic,250475,301438,197583
2025-07-09-15:07:35,Octree,Point,NoEncoding,29697591,neighborsPtr,sphere,0.05,10000,random,5,0.269889,0.0539779,0.054067,0.000644298,1,0.0546868,2019,0,40,dynamic,2070990,2451958,1498186
2025-07-09-15:07:36,Octree,Point,NoEncoding,29697591,neighborsPtr,sphere,0.1,10000,random,5,0.853182,0.170636,0.171089,0.00193868,1,0.172506,8606,0,40,dynamic,7473253,9068341,5114682
2025-07-09-15:07:40,Octree,Point,NoEncoding,29697591,neighborsPtr,sphere,0.2,10000,random,5,2.87889,0.575779,0.577184,0.00317804,1,0.585851,33560,0,40,dynamic,21818023,26947672,15769322
2025-07-09-15:07:40,Octree,Point,NoEncoding,29697591,neighborsPtr,square,0.01,10000,random,5,0.210008,0.0420016,0.0419803,0.000305901,1,0.0429591,510,0,40,dynamic,1449510,1960515,1158521
2025-07-09-15:07:41,Octree,Point,NoEncoding,29697591,neighborsPtr,square,0.05,10000,random,5,0.741896,0.148379,0.148413,0.00267908,1,0.147588,7888,0,40,dynamic,6041062,7493487,4364195
2025-07-09-15:07:43,Octree,Point,NoEncoding,29697591,neighborsPtr,square,0.1,10000,random,5,1.81075,0.362149,0.362639,0.00191831,1,0.361437,24870,0,40,dynamic,14846116,18384162,10645180
2025-07-09-15:07:49,Octree,Point,NoEncoding,29697591,neighborsPtr,square,0.2,10000,random,5,5.12881,1.02576,1.02691,0.00493967,1,1.02756,78281,0,40,dynamic,32144071,39681944,24119596
2025-07-09-15:07:49,Octree,Point,NoEncoding,29697591,neighborsPtr,cube,0.01,10000,random,5,0.037282,0.00745641,0.00748081,0.000100892,1,0.00958317,76,0,40,dynamic,248944,298382,192974
2025-07-09-15:07:50,Octree,Point,NoEncoding,29697591,neighborsPtr,cube,0.05,10000,random,5,0.263651,0.0527303,0.0526453,0.00062643,1,0.0528425,3223,0,40,dynamic,2100852,2418158,1457308
2025-07-09-15:07:51,Octree,Point,NoEncoding,29697591,neighborsPtr,cube,0.1,10000,random,5,0.847959,0.169592,0.170638,0.00218845,1,0.170199,12886,0,40,dynamic,7503512,8928020,5067529
2025-07-09-15:07:54,Octree,Point,NoEncoding,29697591,neighborsPtr,cube,0.2,10000,random,5,2.91158,0.582315,0.584002,0.00431795,1,0.592268,47506,0,40,dynamic,21185474,25501094,15222852
2025-07-09-15:07:59,UnibnOctree,Point,NoEncoding,29697591,neighborsUnibn,sphere,0.01,10000,random,5,0.0278493,0.00556986,0.00511348,0.000984104,1,0.00754501,69,0,40,dynamic,94002,106314,73111
2025-07-09-15:07:59,UnibnOctree,Point,NoEncoding,29697591,neighborsUnibn,sphere,0.05,10000,random,5,0.12262,0.024524,0.0246103,0.00022213,1,0.025095,2019,0,40,dynamic,463401,529734,321558
2025-07-09-15:07:59,UnibnOctree,Point,NoEncoding,29697591,neighborsUnibn,sphere,0.1,10000,random,5,0.276345,0.055269,0.0553486,0.00061411,1,0.0570041,8606,0,40,dynamic,1170970,1354325,714611
2025-07-09-15:08:00,UnibnOctree,Point,NoEncoding,29697591,neighborsUnibn,sphere,0.2,10000,random,5,0.650037,0.130007,0.129538,0.00162616,1,0.134972,33560,0,40,dynamic,6183082,7000260,3418032
2025-07-09-15:08:00,UnibnOctree,Point,NoEncoding,29697591,neighborsUnibn,cube,0.01,10000,random,5,0.0487349,0.00974698,0.00974378,4.47852e-05,1,0.00788798,76,0,40,dynamic,195965,223941,158074
2025-07-09-15:08:00,UnibnOctree,Point,NoEncoding,29697591,neighborsUnibn,cube,0.05,10000,random,5,0.15795,0.0315899,0.0316707,0.000329757,1,0.031014,3223,0,40,dynamic,1106807,1267408,775662
2025-07-09-15:08:00,UnibnOctree,Point,NoEncoding,29697591,neighborsUnibn,cube,0.1,10000,random,5,0.306099,0.0612198,0.0610023,0.00128424,1,0.0673346,12886,0,40,dynamic,2921157,3328725,1674914
2025-07-09-15:08:01,UnibnOctree,Point,NoEncoding,29697591,neighborsUnibn,cube,0.2,10000,random,5,0.748421,0.149684,0.150193,0.00132104,1,0.150936,47506,0,40,dynamic,7486821,8434004,3922984
2025-07-09-15:08:09,PCLOctree,Point,NoEncoding,29697591,neighborsPCLOct,sphere,0.01,10000,random,5,0.113959,0.0227918,0.0228337,0.000206783,1,0.0242793,70,0,40,dynamic,818472,879145,499867
2025-07-09-15:08:09,PCLOctree,Point,NoEncoding,29697591,neighborsPCLOct,sphere,0.05,10000,random,5,0.283622,0.0567244,0.056503,0.000463228,1,0.0578687,2018,0,40,dynamic,2432836,2389029,1222060
2025-07-09-15:08:10,PCLOctree,Point,NoEncoding,29697591,neighborsPCLOct,sphere,0.1,10000,random,5,0.587469,0.117494,0.117145,0.00130004,1,0.121078,8605,0,40,dynamic,5821932,5683409,2698228
2025-07-09-15:08:12,PCLOctree,Point,NoEncoding,29697591,neighborsPCLOct,sphere,0.2,10000,random,5,1.59812,0.319624,0.321714,0.00306555,1,0.32647,33559,0,40,dynamic,16349102,16653591,7392516
2025-07-09-15:08:25,PCLKDTree,Point,NoEncoding,29697591,neighborsPCLKD,sphere,0.01,10000,random,5,0.0470658,0.00941316,0.00937111,9.8776e-05,1,0.00893123,70,0,40,dynamic,82670,59367,37990
2025-07-09-15:08:25,PCLKDTree,Point,NoEncoding,29697591,neighborsPCLKD,sphere,0.05,10000,random,5,0.360651,0.0721303,0.0726235,0.00157577,1,0.0777492,2018,0,40,dynamic,1799549,993267,380128
2025-07-09-15:08:27,PCLKDTree,Point,NoEncoding,29697591,neighborsPCLKD,sphere,0.1,10000,random,5,1.44436,0.288871,0.289662,0.00197389,1,0.298521,8605,0,40,dynamic,8940277,6257791,1601420
2025-07-09-15:08:34,PCLKDTree,Point,NoEncoding,29697591,neighborsPCLKD,sphere,0.2,10000,random,5,5.99039,1.19808,1.20509,0.0150072,1,1.22028,33559,0,40,dynamic,39880429,32762058,10737591
2025-07-09-15:08:46,NanoflannKDTree,Point,NoEncoding,29697591,neighborsNanoflann,sphere,0.01,10000,random,5,0.023036,0.0046072,0.00388514,0.00144098,1,0.00618235,69,0,40,dynamic,108240,115752,86818
2025-07-09-15:08:46,NanoflannKDTree,Point,NoEncoding,29697591,neighborsNanoflann,sphere,0.05,10000,random,5,0.168022,0.0336044,0.0329624,0.00146709,1,0.0328495,2019,0,40,dynamic,1464470,1447741,785411
2025-07-09-15:08:46,NanoflannKDTree,Point,NoEncoding,29697591,neighborsNanoflann,sphere,0.1,10000,random,5,0.538692,0.107738,0.108108,0.000738867,1,0.109518,8606,0,40,dynamic,5312639,5556396,2625807
2025-07-09-15:08:49,NanoflannKDTree,Point,NoEncoding,29697591,neighborsNanoflann,sphere,0.2,10000,random,5,2.04695,0.40939,0.410525,0.00431194,1,0.419173,33560,0,40,dynamic,16262157,17653179,8880067
2025-07-09-15:09:00,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,circle,0.01,10000,random,5,0.261265,0.0522529,0.0523189,0.00041141,1,0.0552016,453,0,40,dynamic,997108,1444730,788253
2025-07-09-15:09:01,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,circle,0.05,10000,random,5,0.98075,0.19615,0.196219,0.00252126,1,0.201697,6312,0,40,dynamic,5504064,7416408,4159320
2025-07-09-15:09:04,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,circle,0.1,10000,random,5,2.34647,0.469294,0.467179,0.00596266,1,0.480306,20160,0,40,dynamic,14112447,18647469,10574680
