date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-15:18:52,Octree,Point,NoEncoding,429615314,neighborsPtr,circle,0.01,10000,random,5,6.2037,1.24074,1.23547,0.0192114,1,2.31304,25352,0,40,dynamic,26023143,36176217,24372701
2025-07-09-15:19:35,Octree,Point,NoEncoding,429615314,neighborsPtr,circle,0.05,10000,random,5,35.6615,7.1323,7.11534,0.0982601,1,6.98303,288751,0,40,dynamic,114677543,150314514,97609557
2025-07-09-15:21:15,Octree,Point,NoEncoding,429615314,neighborsPtr,circle,0.1,10000,random,5,83.1005,16.6201,16.6549,0.227909,1,17.183,750632,0,40,dynamic,264619330,355504415,225351745
2025-07-09-15:25:17,Octree,Point,NoEncoding,429615314,neighborsPtr,circle,0.2,10000,random,5,201.441,40.2883,40.3414,0.496907,1,40.4047,1918159,0,40,dynamic,631771548,850079311,538483284
2025-07-09-15:25:17,Octree,Point,NoEncoding,429615314,neighborsPtr,sphere,0.01,10000,random,5,0.159334,0.0318667,0.0318946,0.00188735,1,0.0301404,455,0,40,dynamic,605602,755452,521267
2025-07-09-15:25:20,Octree,Point,NoEncoding,429615314,neighborsPtr,sphere,0.05,10000,random,5,1.89658,0.379316,0.380135,0.00320113,1,0.378636,14484,0,40,dynamic,8716407,11023823,6427990
2025-07-09-15:25:28,Octree,Point,NoEncoding,429615314,neighborsPtr,sphere,0.1,10000,random,5,7.06531,1.41306,1.41131,0.00925557,1,1.42551,58634,0,40,dynamic,30084985,39035454,23446565
2025-07-09-15:26:00,Octree,Point,NoEncoding,429615314,neighborsPtr,sphere,0.2,10000,random,5,26.8822,5.37644,5.36854,0.0512681,1,5.4077,232692,0,40,dynamic,102074948,135624029,84482909
2025-07-09-15:26:08,Octree,Point,NoEncoding,429615314,neighborsPtr,square,0.01,10000,random,5,5.86364,1.17273,1.16744,0.0131507,1,1.17503,28127,0,40,dynamic,24882854,34665491,23144153
2025-07-09-15:26:48,Octree,Point,NoEncoding,429615314,neighborsPtr,square,0.05,10000,random,5,33.852,6.7704,6.81004,0.0955421,1,6.78251,328625,0,40,dynamic,115711190,154119625,99028678
2025-07-09-15:28:24,Octree,Point,NoEncoding,429615314,neighborsPtr,square,0.1,10000,random,5,79.1519,15.8304,15.7127,0.266568,1,16.2818,844892,0,40,dynamic,239567256,319391741,206746180
2025-07-09-15:32:18,Octree,Point,NoEncoding,429615314,neighborsPtr,square,0.2,10000,random,5,195.348,39.0697,38.9856,0.413681,1,38.9841,2155799,0,40,dynamic,567057714,759366384,481980935
2025-07-09-15:32:18,Octree,Point,NoEncoding,429615314,neighborsPtr,cube,0.01,10000,random,5,0.142151,0.0284303,0.0283176,0.000269596,1,0.0289389,501,0,40,dynamic,551823,670132,473784
2025-07-09-15:32:20,Octree,Point,NoEncoding,429615314,neighborsPtr,cube,0.05,10000,random,5,1.86733,0.373466,0.374769,0.00367745,1,0.371712,21388,0,40,dynamic,9450781,11716608,6627016
2025-07-09-15:32:29,Octree,Point,NoEncoding,429615314,neighborsPtr,cube,0.1,10000,random,5,7.04321,1.40864,1.40915,0.00918228,1,1.41299,83089,0,40,dynamic,31364802,39980524,23928330
2025-07-09-15:33:01,Octree,Point,NoEncoding,429615314,neighborsPtr,cube,0.2,10000,random,5,26.8899,5.37798,5.36194,0.0472957,1,5.36611,322205,0,40,dynamic,101099350,131474999,83632702
2025-07-09-15:34:11,UnibnOctree,Point,NoEncoding,429615314,neighborsUnibn,sphere,0.01,10000,random,5,0.0645989,0.0129198,0.0127756,0.000422157,1,0.0127993,455,0,40,dynamic,287846,322908,236347
2025-07-09-15:34:12,UnibnOctree,Point,NoEncoding,429615314,neighborsUnibn,sphere,0.05,10000,random,5,0.4174,0.08348,0.0831512,0.00074576,1,0.0807359,14484,0,40,dynamic,2371933,2690193,1353093
2025-07-09-15:34:13,UnibnOctree,Point,NoEncoding,429615314,neighborsUnibn,sphere,0.1,10000,random,5,1.12309,0.224618,0.224783,0.000878639,1,0.223585,58634,0,40,dynamic,7047743,7996902,3671946
2025-07-09-15:34:17,UnibnOctree,Point,NoEncoding,429615314,neighborsUnibn,sphere,0.2,10000,random,5,3.60581,0.721162,0.716837,0.0149738,1,0.714291,232692,0,40,dynamic,21825689,25056514,12527638
2025-07-09-15:34:18,UnibnOctree,Point,NoEncoding,429615314,neighborsUnibn,cube,0.01,10000,random,5,0.102941,0.0205882,0.0210008,0.000948676,1,0.0205865,501,0,40,dynamic,342668,392328,284335
2025-07-09-15:34:18,UnibnOctree,Point,NoEncoding,429615314,neighborsUnibn,cube,0.05,10000,random,5,0.524758,0.104952,0.104622,0.000537912,1,0.104884,21388,0,40,dynamic,3118532,3513823,1686765
2025-07-09-15:34:20,UnibnOctree,Point,NoEncoding,429615314,neighborsUnibn,cube,0.1,10000,random,5,1.45797,0.291594,0.291984,0.00273543,1,0.297381,83089,0,40,dynamic,9480189,10731717,4803714
2025-07-09-15:34:26,UnibnOctree,Point,NoEncoding,429615314,neighborsUnibn,cube,0.2,10000,random,5,4.70361,0.940723,0.940876,0.010572,1,0.943609,322205,0,40,dynamic,26702526,30916799,16104629
2025-07-09-15:36:31,PCLOctree,Point,NoEncoding,429615314,neighborsPCLOct,sphere,0.01,10000,random,5,0.756145,0.151229,0.151157,0.00144811,1,0.221477,468,0,40,dynamic,4080547,4694811,2570074
