date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-11-13:16:20,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Sphere,0.5,10000,5,0.539583,0.107917,0.107634,0.00173195,1
2024-12-11-13:16:22,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Circle,0.5,10000,5,1.1746,0.234921,0.244005,0.0204438,1
2024-12-11-13:16:22,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Cube,0.5,10000,5,0.497135,0.099427,0.101231,0.0040948,1
2024-12-11-13:16:23,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Square,0.5,10000,5,0.973414,0.194683,0.197013,0.00601808,1
2024-12-11-13:16:25,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Sphere,1,10000,5,1.33074,0.266148,0.264733,0.00877382,1
2024-12-11-13:16:28,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Circle,1,10000,5,2.14195,0.428389,0.430754,0.0139245,1
2024-12-11-13:16:29,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Cube,1,10000,5,1.51884,0.303768,0.30435,0.0033144,1
2024-12-11-13:16:32,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Square,1,10000,5,2.35626,0.471252,0.481619,0.0271435,1
2024-12-11-13:16:39,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Sphere,2.5,10000,5,5.92351,1.1847,1.19538,0.0504205,1
2024-12-11-13:16:48,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Circle,2.5,10000,5,7.40372,1.48074,1.46524,0.0796555,1
2024-12-11-13:16:56,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Cube,2.5,10000,5,6.51906,1.30381,1.31151,0.0564793,1
2024-12-11-13:17:06,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Square,2.5,10000,5,7.98204,1.59641,1.6297,0.0653416,1
2024-12-11-13:17:32,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Sphere,5,10000,5,21.6299,4.32597,4.32244,0.0234144,1
2024-12-11-13:18:00,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Circle,5,10000,5,23.8636,4.77272,4.7577,0.0463451,1
2024-12-11-13:18:28,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Cube,5,10000,5,23.1188,4.62375,4.61962,0.0262439,1
2024-12-11-13:18:57,linear <Lpoint64, MortonEncoder> ,10000000,neighOldSearch,Square,5,10000,5,23.9171,4.78341,4.82768,0.0747847,1
2024-12-11-13:18:57,linear <Lpoint64, MortonEncoder> ,10000000,neighSearch,Sphere,0.5,10000,5,0.428474,0.0856948,0.0894109,0.00767087,1
2024-12-11-13:18:59,linear <Lpoint64, MortonEncoder> ,10000000,neighSearch,Circle,0.5,10000,5,0.97112,0.194224,0.195908,0.0129238,1
2024-12-11-13:18:59,linear <Lpoint64, MortonEncoder> ,10000000,neighSearch,Cube,0.5,10000,5,0.353094,0.0706187,0.0699825,0.00251207,1
2024-12-11-13:19:00,linear <Lpoint64, MortonEncoder> ,10000000,neighSearch,Square,0.5,10000,5,0.912159,0.182432,0.181934,0.0046091,1
