date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-11-29-11:32:32,pointer <Lpoint> unsorted,17747769,neighSearch,Sphere,0.5,1000,5,0.0746048,0.014921,0.0155277,0.00230409,1
2024-11-29-11:32:32,pointer <Lpoint> unsorted,17747769,neighSearch,Circle,0.5,1000,5,0.0302413,0.00604825,0.00564174,0.00134028,1
2024-11-29-11:32:33,pointer <Lpoint> unsorted,17747769,neighSearch,Cube,0.5,1000,5,0.0243463,0.00486926,0.00492163,0.000639823,1
2024-11-29-11:32:33,pointer <Lpoint> unsorted,17747769,neighSearch,Square,0.5,1000,5,0.0278439,0.00556878,0.00544654,0.00112688,1
2024-11-29-11:32:33,pointer <Lpoint> unsorted,17747769,neighSearch,Sphere,1,1000,5,0.0269292,0.00538585,0.0052135,0.000869683,1
2024-11-29-11:32:33,pointer <Lpoint> unsorted,17747769,neighSearch,Circle,1,1000,5,0.0366923,0.00733845,0.00653178,0.00139606,1
2024-11-29-11:32:33,pointer <Lpoint> unsorted,17747769,neighSearch,Cube,1,1000,5,0.0256495,0.00512991,0.00512507,0.000279998,1
2024-11-29-11:32:33,pointer <Lpoint> unsorted,17747769,neighSearch,Square,1,1000,5,0.0412753,0.00825506,0.00797424,0.00114539,1
2024-11-29-11:32:33,pointer <Lpoint> unsorted,17747769,neighSearch,Sphere,2.5,1000,5,0.0525058,0.0105012,0.00918998,0.00354176,1
2024-11-29-11:32:33,pointer <Lpoint> unsorted,17747769,neighSearch,Circle,2.5,1000,5,0.0785521,0.0157104,0.0164692,0.00135484,1
2024-11-29-11:32:33,pointer <Lpoint> unsorted,17747769,neighSearch,Cube,2.5,1000,5,0.0516827,0.0103365,0.0102761,0.00157906,1
2024-11-29-11:32:33,pointer <Lpoint> unsorted,17747769,neighSearch,Square,2.5,1000,5,0.0790319,0.0158064,0.0155812,0.000999944,1
2024-11-29-11:32:33,pointer <Lpoint> unsorted,17747769,neighSearch,Sphere,5,1000,5,0.123056,0.0246111,0.0249662,0.00151061,1
2024-11-29-11:32:33,pointer <Lpoint> unsorted,17747769,neighSearch,Circle,5,1000,5,0.169592,0.0339184,0.0335942,0.00132606,1
2024-11-29-11:32:34,pointer <Lpoint> unsorted,17747769,neighSearch,Cube,5,1000,5,0.137803,0.0275606,0.0286705,0.00266941,1
2024-11-29-11:32:34,pointer <Lpoint> unsorted,17747769,neighSearch,Square,5,1000,5,0.166919,0.0333838,0.03325,0.00114257,1
2024-11-29-11:32:34,pointer <Lpoint> unsorted,17747769,neighSearch,Sphere,10,1000,5,0.37428,0.0748559,0.0749802,0.00165702,1
2024-11-29-11:32:35,pointer <Lpoint> unsorted,17747769,neighSearch,Circle,10,1000,5,0.520318,0.104064,0.10229,0.00513358,1
2024-11-29-11:32:35,pointer <Lpoint> unsorted,17747769,neighSearch,Cube,10,1000,5,0.449762,0.0899523,0.0901117,0.00133088,1
2024-11-29-11:32:36,pointer <Lpoint> unsorted,17747769,neighSearch,Square,10,1000,5,0.564073,0.112815,0.113395,0.00137875,1
2024-11-29-11:32:36,pointer <Lpoint> unsorted,17747769,numNeighSearch,Sphere,0.5,1000,5,0.0137917,0.00275834,0.00249934,0.00110207,1
2024-11-29-11:32:36,pointer <Lpoint> unsorted,17747769,numNeighSearch,Circle,0.5,1000,5,0.0104763,0.00209526,0.00244349,0.000822716,1
2024-11-29-11:32:36,pointer <Lpoint> unsorted,17747769,numNeighSearch,Cube,0.5,1000,5,0.0101601,0.00203202,0.00194129,0.000320562,1
2024-11-29-11:32:36,pointer <Lpoint> unsorted,17747769,numNeighSearch,Square,0.5,1000,5,0.00893329,0.00178666,0.00147206,0.000645019,1
2024-11-29-11:32:36,pointer <Lpoint> unsorted,17747769,numNeighSearch,Sphere,1,1000,5,0.0106503,0.00213007,0.00238912,0.00108849,1
2024-11-29-11:32:36,pointer <Lpoint> unsorted,17747769,numNeighSearch,Circle,1,1000,5,0.00979147,0.00195829,0.00182754,0.000455263,1
2024-11-29-11:32:36,pointer <Lpoint> unsorted,17747769,numNeighSearch,Cube,1,1000,5,0.0167439,0.00334879,0.00334677,0.00137188,1
2024-11-29-11:32:36,pointer <Lpoint> unsorted,17747769,numNeighSearch,Square,1,1000,5,0.00987539,0.00197508,0.00183687,0.000860278,1
2024-11-29-11:32:36,pointer <Lpoint> unsorted,17747769,numNeighSearch,Sphere,2.5,1000,5,0.0131399,0.00262797,0.00282453,0.000717562,1
