date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-11-29-10:52:23,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,0.5,1000,5,0.0564364,0.0112873,0.0103867,0.00178686,1
2024-11-29-10:52:23,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,0.5,1000,5,0.101955,0.0203911,0.0202255,0.00148325,1
2024-11-29-10:52:23,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,0.5,1000,5,0.0606674,0.0121335,0.0120202,0.00143088,1
2024-11-29-10:52:23,pointer <Lpoint> unsorted,10000000,neighSearch,Square,0.5,1000,5,0.12106,0.0242119,0.0238862,0.00205042,1
2024-11-29-10:52:24,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,1,1000,5,0.215206,0.0430412,0.0435316,0.00919883,1
2024-11-29-10:52:24,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,1,1000,5,0.249693,0.0499387,0.050093,0.00151899,1
2024-11-29-10:52:24,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,1,1000,5,0.198394,0.0396788,0.0393553,0.00194918,1
2024-11-29-10:52:24,pointer <Lpoint> unsorted,10000000,neighSearch,Square,1,1000,5,0.286125,0.0572249,0.0565963,0.00185385,1
2024-11-29-10:52:26,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,2.5,1000,5,0.901084,0.180217,0.17881,0.0026539,1
2024-11-29-10:52:27,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,2.5,1000,5,1.03951,0.207902,0.20753,0.00179139,1
2024-11-29-10:52:28,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,2.5,1000,5,1.10297,0.220594,0.220008,0.00355685,1
2024-11-29-10:52:29,pointer <Lpoint> unsorted,10000000,neighSearch,Square,2.5,1000,5,1.1635,0.232699,0.232564,0.00109381,1
2024-11-29-10:52:33,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,5,1000,5,3.32466,0.664932,0.660627,0.00930633,1
2024-11-29-10:52:38,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,5,1000,5,3.41011,0.682023,0.683038,0.00299029,1
2024-11-29-10:52:42,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,5,1000,5,3.90813,0.781625,0.784841,0.00485671,1
2024-11-29-10:52:50,pointer <Lpoint> unsorted,10000000,neighSearch,Square,5,1000,5,6.74463,1.34893,0.76786,1.17051,1
2024-11-29-10:53:04,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,10,1000,5,11.6684,2.33368,2.335,0.0184509,1
2024-11-29-10:53:17,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,10,1000,5,11.2525,2.25051,2.25297,0.0158086,1
2024-11-29-10:53:37,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,10,1000,5,16.7446,3.34892,2.75937,1.19387,1
2024-11-29-10:53:52,pointer <Lpoint> unsorted,10000000,neighSearch,Square,10,1000,5,12.548,2.5096,2.50862,0.0143811,1
2024-11-29-10:53:52,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,0.5,1000,5,0.0109543,0.00219087,0.00219723,0.000448225,1
2024-11-29-10:53:52,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,0.5,1000,5,0.0235563,0.00471127,0.00376405,0.00177612,1
2024-11-29-10:53:52,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,0.5,1000,5,0.0137449,0.00274898,0.00254601,0.00130992,1
2024-11-29-10:53:52,pointer <Lpoint> unsorted,10000000,numNeighSearch,Square,0.5,1000,5,0.010683,0.00213661,0.00201039,0.000636374,1
2024-11-29-10:53:52,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,1,1000,5,0.0191523,0.00383047,0.00367771,0.00126704,1
2024-11-29-10:53:52,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,1,1000,5,0.0170882,0.00341763,0.0033618,0.00074151,1
2024-11-29-10:53:52,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,1,1000,5,0.0180423,0.00360847,0.00340337,0.000722829,1
