date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-11-29-11:00:42,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,0.5,1000,5,0.115498,0.0230997,0.0226837,0.00223551,1
2024-11-29-11:00:43,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,0.5,1000,5,0.309877,0.0619753,0.0626894,0.00736429,1
2024-11-29-11:00:43,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,0.5,1000,5,0.125219,0.0250438,0.0256352,0.00131189,1
2024-11-29-11:00:43,pointer <Lpoint> unsorted,10000000,neighSearch,Square,0.5,1000,5,0.294857,0.0589714,0.0587882,0.00127067,1
2024-11-29-11:00:44,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,1,1000,5,0.376585,0.075317,0.0744723,0.00195081,1
2024-11-29-11:00:44,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,1,1000,5,0.735118,0.147024,0.146922,0.00240173,1
2024-11-29-11:00:45,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,1,1000,5,0.473413,0.0946826,0.0904671,0.00827185,1
2024-11-29-11:00:46,pointer <Lpoint> unsorted,10000000,neighSearch,Square,1,1000,5,0.838595,0.167719,0.16709,0.0034189,1
2024-11-29-11:00:49,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,2.5,1000,5,2.13578,0.427156,0.424659,0.00578492,1
2024-11-29-11:00:52,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,2.5,1000,5,3.06739,0.613477,0.615153,0.00573832,1
2024-11-29-11:00:55,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,2.5,1000,5,2.54851,0.509702,0.51057,0.00295479,1
2024-11-29-11:01:02,pointer <Lpoint> unsorted,10000000,neighSearch,Square,2.5,1000,5,6.36048,1.2721,0.688482,1.17332,1
2024-11-29-11:01:12,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,5,1000,5,7.84919,1.56984,1.57727,0.0154681,1
2024-11-29-11:01:23,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,5,1000,5,9.4015,1.8803,1.88076,0.0121136,1
2024-11-29-11:01:37,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,5,1000,5,12.1727,2.43454,1.84497,1.17688,1
2024-11-29-11:01:50,pointer <Lpoint> unsorted,10000000,neighSearch,Square,5,1000,5,10.5222,2.10445,2.10596,0.00492907,1
2024-11-29-11:02:26,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,10,1000,5,30.7342,6.14684,5.56487,1.18557,1
2024-11-29-11:03:05,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,10,1000,5,32.9214,6.58429,5.96942,1.14528,1
2024-11-29-11:03:48,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,10,1000,5,35.7953,7.15907,6.52247,1.30951,1
2024-11-29-11:04:33,pointer <Lpoint> unsorted,10000000,neighSearch,Square,10,1000,5,35.9018,7.18037,6.5538,1.2654,1
2024-11-29-11:04:33,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,0.5,1000,5,0.0276904,0.00553809,0.00248548,0.00466822,1
2024-11-29-11:04:33,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,0.5,1000,5,0.0263962,0.00527924,0.00602522,0.00160502,1
2024-11-29-11:04:33,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,0.5,1000,5,0.0185237,0.00370474,0.00314421,0.00096106,1
2024-11-29-11:04:33,pointer <Lpoint> unsorted,10000000,numNeighSearch,Square,0.5,1000,5,0.0233389,0.00466777,0.00434343,0.00070486,1
2024-11-29-11:04:33,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,1,1000,5,0.0264154,0.00528308,0.00578903,0.00126749,1
2024-11-29-11:04:33,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,1,1000,5,0.024876,0.00497519,0.00436214,0.00185349,1
2024-11-29-11:04:33,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,1,1000,5,0.0233689,0.00467378,0.00438807,0.00100075,1
2024-11-29-11:04:33,pointer <Lpoint> unsorted,10000000,numNeighSearch,Square,1,1000,5,0.0294536,0.00589073,0.0059411,0.000453769,1
2024-11-29-11:04:33,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,2.5,1000,5,0.039166,0.00783319,0.00773602,0.000476533,1
2024-11-29-11:04:34,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,2.5,1000,5,0.0606337,0.0121267,0.0125282,0.00120551,1
2024-11-29-11:04:34,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,2.5,1000,5,0.0347771,0.00695543,0.00670942,0.00122558,1
2024-11-29-11:04:34,pointer <Lpoint> unsorted,10000000,numNeighSearch,Square,2.5,1000,5,0.052771,0.0105542,0.00998475,0.0010415,1
2024-11-29-11:04:34,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,5,1000,5,0.113675,0.022735,0.023293,0.000955222,1
2024-11-29-11:04:34,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,5,1000,5,0.137972,0.0275944,0.0265576,0.00151963,1
2024-11-29-11:04:34,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,5,1000,5,0.123148,0.0246296,0.0247238,0.000698874,1
2024-11-29-11:04:34,pointer <Lpoint> unsorted,10000000,numNeighSearch,Square,5,1000,5,0.14131,0.0282619,0.028634,0.000947816,1
2024-11-29-11:04:35,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,10,1000,5,0.427735,0.0855469,0.0853598,0.00137346,1
2024-11-29-11:04:35,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,10,1000,5,0.449123,0.0898246,0.089586,0.00667125,1
2024-11-29-11:04:36,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,10,1000,5,0.411475,0.0822949,0.082343,0.00139417,1
2024-11-29-11:04:36,pointer <Lpoint> unsorted,10000000,numNeighSearch,Square,10,1000,5,0.412457,0.0824914,0.0823037,0.000962614,1
2024-11-29-11:04:38,linear <Lpoint> ,10000000,neighSearch,Sphere,0.5,1000,5,0.132024,0.0264049,0.0271365,0.00951731,1
2024-11-29-11:04:38,linear <Lpoint> ,10000000,neighSearch,Circle,0.5,1000,5,0.200075,0.0400151,0.0401075,0.000785827,1
2024-11-29-11:04:38,linear <Lpoint> ,10000000,neighSearch,Cube,0.5,1000,5,0.0750259,0.0150052,0.0151809,0.000702456,1
2024-11-29-11:04:39,linear <Lpoint> ,10000000,neighSearch,Square,0.5,1000,5,0.207251,0.0414501,0.0409675,0.000997828,1
2024-11-29-11:04:39,linear <Lpoint> ,10000000,neighSearch,Sphere,1,1000,5,0.253853,0.0507706,0.0508761,0.000817584,1
2024-11-29-11:04:40,linear <Lpoint> ,10000000,neighSearch,Circle,1,1000,5,0.541549,0.10831,0.107909,0.000947269,1
2024-11-29-11:04:40,linear <Lpoint> ,10000000,neighSearch,Cube,1,1000,5,0.298749,0.0597498,0.0607723,0.00447052,1
2024-11-29-11:04:41,linear <Lpoint> ,10000000,neighSearch,Square,1,1000,5,0.564183,0.112837,0.112238,0.00172192,1
2024-11-29-11:04:43,linear <Lpoint> ,10000000,neighSearch,Sphere,2.5,1000,5,1.57947,0.315895,0.312765,0.0112304,1
2024-11-29-11:04:45,linear <Lpoint> ,10000000,neighSearch,Circle,2.5,1000,5,2.33793,0.467587,0.466949,0.0042735,1
2024-11-29-11:04:47,linear <Lpoint> ,10000000,neighSearch,Cube,2.5,1000,5,1.71244,0.342488,0.343554,0.00197914,1
2024-11-29-11:04:50,linear <Lpoint> ,10000000,neighSearch,Square,2.5,1000,5,2.52009,0.504018,0.504933,0.00459777,1
2024-11-29-11:04:57,linear <Lpoint> ,10000000,neighSearch,Sphere,5,1000,5,5.71562,1.14312,1.14244,0.0028838,1
2024-11-29-11:05:09,linear <Lpoint> ,10000000,neighSearch,Circle,5,1000,5,10.2034,2.04069,1.4473,1.17588,1
2024-11-29-11:05:16,linear <Lpoint> ,10000000,neighSearch,Cube,5,1000,5,6.25284,1.25057,1.25212,0.00626298,1
2024-11-29-11:05:26,linear <Lpoint> ,10000000,neighSearch,Square,5,1000,5,7.74434,1.54887,1.5496,0.00121477,1
2024-11-29-11:05:53,linear <Lpoint> ,10000000,neighSearch,Sphere,10,1000,5,23.0803,4.61605,4.03376,1.17619,1
2024-11-29-11:06:23,linear <Lpoint> ,10000000,neighSearch,Circle,10,1000,5,25.9257,5.18514,4.59385,1.15887,1
2024-11-29-11:06:53,linear <Lpoint> ,10000000,neighSearch,Cube,10,1000,5,25.3286,5.06572,4.49802,1.15376,1
2024-11-29-11:07:23,linear <Lpoint> ,10000000,neighSearch,Square,10,1000,5,25.0524,5.01048,4.98563,0.042891,1
2024-11-29-11:07:23,linear <Lpoint> ,10000000,numNeighSearch,Sphere,0.5,1000,5,0.0201954,0.00403908,0.00381317,0.00265359,1
2024-11-29-11:07:23,linear <Lpoint> ,10000000,numNeighSearch,Circle,0.5,1000,5,0.0108385,0.0021677,0.00190538,0.00145995,1
2024-11-29-11:07:23,linear <Lpoint> ,10000000,numNeighSearch,Cube,0.5,1000,5,0.0774957,0.0154991,0.0152162,0.00111735,1
2024-11-29-11:07:23,linear <Lpoint> ,10000000,numNeighSearch,Square,0.5,1000,5,0.165807,0.0331614,0.0327781,0.000792358,1
2024-11-29-11:07:23,linear <Lpoint> ,10000000,numNeighSearch,Sphere,1,1000,5,0.0109344,0.00218688,0.00220928,0.000680155,1
2024-11-29-11:07:23,linear <Lpoint> ,10000000,numNeighSearch,Circle,1,1000,5,0.00954818,0.00190964,0.00197263,0.00100692,1
2024-11-29-11:07:24,linear <Lpoint> ,10000000,numNeighSearch,Cube,1,1000,5,0.218906,0.0437812,0.0438432,0.00057421,1
