date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-05-28-22:14:16,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Sphere,10,12219779,sequential,1,72.8218,72.8218,72.8218,0,0,6.89926e-310,12587,0,40,dynamic
2025-05-28-22:15:10,unibnOctree,Point,NoEncoding,12219779,neighborsUnibn,Sphere,10,12219779,sequential,1,52.8597,52.8597,52.8597,0,0,5.44025e+06,12587,0,40,dynamic
2025-05-28-22:22:12,pclKD,PCLPointXYZ,NoEncoding,12219779,neighborsPclKD,Sphere,10,12219779,sequential,1,416.09,416.09,416.09,0,0,-5.48746e+303,12565,0,40,dynamic
2025-05-28-22:23:05,ptrOct,Point,MortonEncoder3D,12219779,neighborsPtr,Sphere,10,12219779,sequential,1,49.1982,49.1982,49.1982,0,0,6.89926e-310,12587,0,40,dynamic
2025-05-28-22:23:49,linOct,Point,MortonEncoder3D,12219779,neighbors,Sphere,10,12219779,sequential,1,43.7753,43.7753,43.7753,0,0,0,12587,0,40,dynamic
2025-05-28-22:24:27,linOct,Point,MortonEncoder3D,12219779,neighborsPtr,Sphere,10,12219779,sequential,1,37.7335,37.7335,37.7335,0,0,4.94066e-323,12587,0,40,dynamic
2025-05-28-22:24:54,linOct,Point,MortonEncoder3D,12219779,neighborsStruct,Sphere,10,12219779,sequential,1,27.3713,27.3713,27.3713,0,0,4.94066e-323,12587,0,40,dynamic
2025-05-28-22:25:25,unibnOctree,Point,MortonEncoder3D,12219779,neighborsUnibn,Sphere,10,12219779,sequential,1,29.9046,29.9046,29.9046,0,0,5.44025e+06,12587,0,40,dynamic
2025-05-28-22:32:22,pclKD,PCLPointXYZ,MortonEncoder3D,12219779,neighborsPclKD,Sphere,10,12219779,sequential,1,414.312,414.312,414.312,0,0,-5.48746e+303,12565,0,40,dynamic
2025-05-28-22:33:13,ptrOct,Point,HilbertEncoder3D,12219779,neighborsPtr,Sphere,10,12219779,sequential,1,46.8434,46.8434,46.8434,0,0,6.89926e-310,12587,0,40,dynamic
2025-05-28-22:33:56,linOct,Point,HilbertEncoder3D,12219779,neighbors,Sphere,10,12219779,sequential,1,42.3742,42.3742,42.3742,0,0,0,12587,0,40,dynamic
2025-05-28-22:34:33,linOct,Point,HilbertEncoder3D,12219779,neighborsPtr,Sphere,10,12219779,sequential,1,36.4821,36.4821,36.4821,0,0,4.94066e-323,12587,0,40,dynamic
2025-05-28-22:34:58,linOct,Point,HilbertEncoder3D,12219779,neighborsStruct,Sphere,10,12219779,sequential,1,25.7768,25.7768,25.7768,0,0,4.94066e-323,12587,0,40,dynamic
2025-05-28-22:35:29,unibnOctree,Point,HilbertEncoder3D,12219779,neighborsUnibn,Sphere,10,12219779,sequential,1,29.3413,29.3413,29.3413,0,0,5.44025e+06,12587,0,40,dynamic
2025-05-28-22:42:26,pclKD,PCLPointXYZ,HilbertEncoder3D,12219779,neighborsPclKD,Sphere,10,12219779,sequential,1,413.79,413.79,413.79,0,0,2.24743e-307,12565,0,40,dynamic
2025-06-01-13:32:43,unibnOctree,Point,NoEncoding,12219779,neighborsUnibn,Sphere,15,12219779,sequential,1,106.419,106.419,106.419,0,0,-5.48746e+303,30511,0,40,dynamic
2025-06-01-13:33:47,unibnOctree,Point,MortonEncoder3D,12219779,neighborsUnibn,Sphere,15,12219779,sequential,1,60.578,60.578,60.578,0,0,-5.48746e+303,30511,0,40,dynamic
2025-06-01-13:34:50,unibnOctree,Point,HilbertEncoder3D,12219779,neighborsUnibn,Sphere,15,12219779,sequential,1,59.6239,59.6239,59.6239,0,0,-5.48746e+303,30511,0,40,dynamic
2025-06-02-19:03:51,pclOct,PCLPointXYZ,NoEncoding,12219779,neighborsPclOct,Sphere,15,12219779,sequential,1,1447.79,1447.79,1447.79,0,0,3.22543e-312,30484,0,40,dynamic
2025-06-02-19:22:39,pclOct,PCLPointXYZ,MortonEncoder3D,12219779,neighborsPclOct,Sphere,15,12219779,sequential,1,1112.39,1112.39,1112.39,0,0,3.22543e-312,30484,0,40,dynamic
2025-06-02-19:41:23,pclOct,PCLPointXYZ,HilbertEncoder3D,12219779,neighborsPclOct,Sphere,15,12219779,sequential,1,1113.42,1113.42,1113.42,0,0,2.24743e-307,30484,0,40,dynamic
2025-11-05-19:51:05,nanoKD,PointsAoS,HilbertEncoder3D,12219779,neighborsNanoflann,Sphere,5,12219779,sequential,1,14.5225,14.5225,14.5225,0,1,14.6711,2772,0,40,dynamic
2025-11-05-19:52:47,nanoKD,PointsAoS,HilbertEncoder3D,12219779,neighborsNanoflann,Sphere,10,12219779,sequential,1,50.8916,50.8916,50.8916,0,1,51.1158,12587,0,40,dynamic
2025-11-05-19:56:37,nanoKD,PointsAoS,HilbertEncoder3D,12219779,neighborsNanoflann,Sphere,15,12219779,sequential,1,115.245,115.245,115.245,0,1,115.301,30511,0,40,dynamic
2025-07-01-13:49:06,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Sphere,15,12219779,sequential,1,171.138,171.138,171.138,0,0,3.96955e-315,30511,0,40,dynamic
2025-07-01-13:50:57,ptrOct,Point,MortonEncoder3D,12219779,neighborsPtr,Sphere,15,12219779,sequential,1,107.646,107.646,107.646,0,0,4.44752e-315,30511,0,40,dynamic
2025-07-01-13:52:27,linOct,Point,MortonEncoder3D,12219779,neighbors,Sphere,15,12219779,sequential,1,89.5378,89.5378,89.5378,0,0,6.91828e-310,30511,0,40,dynamic
2025-07-01-13:53:47,linOct,Point,MortonEncoder3D,12219779,neighborsPrune,Sphere,15,12219779,sequential,1,79.1389,79.1389,79.1389,0,0,4.94066e-323,30511,0,40,dynamic
2025-07-01-13:54:31,linOct,Point,MortonEncoder3D,12219779,neighborsStruct,Sphere,15,12219779,sequential,1,44.5212,44.5212,44.5212,0,0,4.94066e-323,30511,0,40,dynamic
2025-07-01-13:56:19,ptrOct,Point,HilbertEncoder3D,12219779,neighborsPtr,Sphere,15,12219779,sequential,1,103.178,103.178,103.178,0,0,4.93024e-315,30511,0,40,dynamic
2025-07-01-13:57:46,linOct,Point,HilbertEncoder3D,12219779,neighbors,Sphere,15,12219779,sequential,1,87.3083,87.3083,87.3083,0,0,6.91828e-310,30511,0,40,dynamic
2025-07-01-13:59:03,linOct,Point,HilbertEncoder3D,12219779,neighborsPrune,Sphere,15,12219779,sequential,1,76.8686,76.8686,76.8686,0,0,4.94066e-323,30511,0,40,dynamic
2025-07-01-13:59:45,linOct,Point,HilbertEncoder3D,12219779,neighborsStruct,Sphere,15,12219779,sequential,1,42.0645,42.0645,42.0645,0,0,4.94066e-323,30511,0,40,dynamic
2025-12-07-21:54:39,picoTree,PointsAoS,HilbertEncoder3D,12219779,neighborsPico,Sphere,5,12219779,sequential,1,14.4611,14.4611,14.4611,0,1,14.5795,2772,0,40,dynamic
2025-12-07-21:56:19,picoTree,PointsAoS,HilbertEncoder3D,12219779,neighborsPico,Sphere,10,12219779,sequential,1,50.1574,50.1574,50.1574,0,1,50.3038,12587,0,40,dynamic
2025-12-07-22:00:04,picoTree,PointsAoS,HilbertEncoder3D,12219779,neighborsPico,Sphere,15,12219779,sequential,1,112.595,112.595,112.595,0,1,112.653,30511,0,40,dynamic
