date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-05-28-22:48:00,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Sphere,3,10000000,sequential,1,329.062,329.062,329.062,0,0,6.92624e-310,71483,0,40,dynamic
2025-05-28-22:50:09,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Sphere,3,10000000,sequential,1,128.056,128.056,128.056,0,0,20.7776,71483,0,40,dynamic
2025-05-28-23:26:50,pclKD,PCLPointXYZ,NoEncoding,10000000,neighborsPclKD,Sphere,3,10000000,sequential,1,2197.44,2197.44,2197.44,0,0,-5.48746e+303,71483,0,40,dynamic
2025-05-28-23:31:27,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Sphere,3,10000000,sequential,1,273.66,273.66,273.66,0,0,6.92624e-310,71483,0,40,dynamic
2025-05-28-23:34:07,linOct,Point,MortonEncoder3D,10000000,neighbors,Sphere,3,10000000,sequential,1,159.969,159.969,159.969,0,0,0,71483,0,40,dynamic
2025-05-28-23:35:49,linOct,Point,MortonEncoder3D,10000000,neighborsPtr,Sphere,3,10000000,sequential,1,101.583,101.583,101.583,0,0,4.94066e-323,71483,0,40,dynamic
2025-05-28-23:36:24,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Sphere,3,10000000,sequential,1,35.4621,35.4621,35.4621,0,0,4.94066e-323,71483,0,40,dynamic
2025-05-28-23:37:51,unibnOctree,Point,MortonEncoder3D,10000000,neighborsUnibn,Sphere,3,10000000,sequential,1,86.2064,86.2064,86.2064,0,0,20.7776,71483,0,40,dynamic
2025-05-29-00:15:28,pclKD,PCLPointXYZ,MortonEncoder3D,10000000,neighborsPclKD,Sphere,3,10000000,sequential,1,2253.47,2253.47,2253.47,0,0,-5.48746e+303,71483,0,40,dynamic
2025-05-29-00:19:57,ptrOct,Point,HilbertEncoder3D,10000000,neighborsPtr,Sphere,3,10000000,sequential,1,265.625,265.625,265.625,0,0,6.92624e-310,71483,0,40,dynamic
2025-05-29-00:22:36,linOct,Point,HilbertEncoder3D,10000000,neighbors,Sphere,3,10000000,sequential,1,159.037,159.037,159.037,0,0,0,71483,0,40,dynamic
2025-05-29-00:24:16,linOct,Point,HilbertEncoder3D,10000000,neighborsPtr,Sphere,3,10000000,sequential,1,100.394,100.394,100.394,0,0,4.94066e-323,71483,0,40,dynamic
2025-05-29-00:24:50,linOct,Point,HilbertEncoder3D,10000000,neighborsStruct,Sphere,3,10000000,sequential,1,33.9261,33.9261,33.9261,0,0,4.94066e-323,71483,0,40,dynamic
2025-05-29-00:26:16,unibnOctree,Point,HilbertEncoder3D,10000000,neighborsUnibn,Sphere,3,10000000,sequential,1,85.1084,85.1084,85.1084,0,0,20.7776,71483,0,40,dynamic
2025-05-29-01:03:58,pclKD,PCLPointXYZ,HilbertEncoder3D,10000000,neighborsPclKD,Sphere,3,10000000,sequential,1,2259.11,2259.11,2259.11,0,0,2.24743e-307,71483,0,40,dynamic
2025-06-01-13:37:01,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Sphere,3,10000000,sequential,1,127.491,127.491,127.491,0,0,0,71483,0,40,dynamic
2025-06-01-13:38:32,unibnOctree,Point,MortonEncoder3D,10000000,neighborsUnibn,Sphere,3,10000000,sequential,1,87.7822,87.7822,87.7822,0,0,1.17869e-319,71483,0,40,dynamic
2025-06-01-13:40:02,unibnOctree,Point,HilbertEncoder3D,10000000,neighborsUnibn,Sphere,3,10000000,sequential,1,87.1734,87.1734,87.1734,0,0,1.17874e-319,71483,0,40,dynamic
2025-06-02-19:49:42,pclOct,PCLPointXYZ,NoEncoding,10000000,neighborsPclOct,Sphere,3,10000000,sequential,1,489.346,489.346,489.346,0,0,3.22543e-312,71483,0,40,dynamic
2025-06-02-19:57:17,pclOct,PCLPointXYZ,MortonEncoder3D,10000000,neighborsPclOct,Sphere,3,10000000,sequential,1,449.584,449.584,449.584,0,0,3.22543e-312,71483,0,40,dynamic
2025-06-02-20:04:51,pclOct,PCLPointXYZ,HilbertEncoder3D,10000000,neighborsPclOct,Sphere,3,10000000,sequential,1,450.392,450.392,450.392,0,0,2.24743e-307,71483,0,40,dynamic
2025-11-05-19:57:01,nanoKD,PointsAoS,HilbertEncoder3D,10000000,neighborsNanoflann,Sphere,0.5,10000000,sequential,1,8.56826,8.56826,8.56826,0,1,8.62442,2050,0,40,dynamic
2025-11-05-19:58:54,nanoKD,PointsAoS,HilbertEncoder3D,10000000,neighborsNanoflann,Sphere,1.5,10000000,sequential,1,56.3384,56.3384,56.3384,0,1,56.3342,18494,0,40,dynamic
2025-11-05-20:10:02,nanoKD,PointsAoS,HilbertEncoder3D,10000000,neighborsNanoflann,Sphere,3,10000000,sequential,1,333.917,333.917,333.917,0,1,334.704,71483,0,40,dynamic
