date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-05-29-01:26:27,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Sphere,3,10000000,sequential,1,1344.2,1344.2,1344.2,0,0,6.90309e-310,179181,0,40,dynamic
2025-05-29-01:43:47,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Sphere,3,10000000,sequential,1,1037.23,1037.23,1037.23,0,0,6.90309e-310,179181,0,40,dynamic
2025-05-29-01:55:19,linOct,Point,MortonEncoder3D,10000000,neighbors,Sphere,3,10000000,sequential,1,691.139,691.139,691.139,0,0,0,179181,0,40,dynamic
2025-05-29-02:01:13,linOct,Point,MortonEncoder3D,10000000,neighborsPtr,Sphere,3,10000000,sequential,1,354.347,354.347,354.347,0,0,4.94066e-323,179181,0,40,dynamic
2025-05-29-02:02:09,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Sphere,3,10000000,sequential,1,56.3747,56.3747,56.3747,0,0,4.94066e-323,179181,0,40,dynamic
2025-05-29-02:19:44,ptrOct,Point,HilbertEncoder3D,10000000,neighborsPtr,Sphere,3,10000000,sequential,1,1051.45,1051.45,1051.45,0,0,2.24562e-315,179181,0,40,dynamic
2025-05-29-02:31:21,linOct,Point,HilbertEncoder3D,10000000,neighbors,Sphere,3,10000000,sequential,1,696.884,696.884,696.884,0,0,0,179181,0,40,dynamic
2025-05-29-02:37:14,linOct,Point,HilbertEncoder3D,10000000,neighborsPtr,Sphere,3,10000000,sequential,1,352.612,352.612,352.612,0,0,4.94066e-323,179181,0,40,dynamic
2025-05-29-02:38:08,linOct,Point,HilbertEncoder3D,10000000,neighborsStruct,Sphere,3,10000000,sequential,1,53.5718,53.5718,53.5718,0,0,4.94066e-323,179181,0,40,dynamic
2025-06-01-13:47:52,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Sphere,3,10000000,sequential,1,466.35,466.35,466.35,0,0,0,179181,0,40,dynamic
2025-06-01-13:52:10,unibnOctree,Point,MortonEncoder3D,10000000,neighborsUnibn,Sphere,3,10000000,sequential,1,255.537,255.537,255.537,0,0,1.17874e-319,179181,0,40,dynamic
2025-06-01-13:56:42,unibnOctree,Point,HilbertEncoder3D,10000000,neighborsUnibn,Sphere,3,10000000,sequential,1,268.556,268.556,268.556,0,0,1.17864e-319,179181,0,40,dynamic
2025-06-02-20:37:14,pclOct,PCLPointXYZ,NoEncoding,10000000,neighborsPclOct,Sphere,3,10000000,sequential,1,1938.06,1938.06,1938.06,0,0,-5.48746e+303,179181,0,40,dynamic
2025-06-02-21:00:33,pclOct,PCLPointXYZ,MortonEncoder3D,10000000,neighborsPclOct,Sphere,3,10000000,sequential,1,1394.63,1394.63,1394.63,0,0,-5.48746e+303,179181,0,40,dynamic
2025-06-02-21:19:13,pclOct,PCLPointXYZ,HilbertEncoder3D,10000000,neighborsPclOct,Sphere,3,10000000,sequential,1,1115.53,1115.53,1115.53,0,0,2.24743e-307,179181,0,40,dynamic
2025-11-05-20:10:43,nanoKD,PointsAoS,HilbertEncoder3D,10000000,neighborsNanoflann,Sphere,0.5,10000000,sequential,1,17.289,17.289,17.289,0,1,17.6615,4978,0,40,dynamic
2025-11-05-20:17:58,nanoKD,PointsAoS,HilbertEncoder3D,10000000,neighborsNanoflann,Sphere,1.5,10000000,sequential,1,198.338,198.338,198.338,0,1,236.517,45393,0,40,dynamic
2025-11-05-20:55:20,nanoKD,PointsAoS,HilbertEncoder3D,10000000,neighborsNanoflann,Sphere,3,10000000,sequential,1,1119.47,1119.47,1119.47,0,1,1122.4,179181,0,40,dynamic
2025-12-07-22:13:41,picoTree,PointsAoS,HilbertEncoder3D,10000000,neighborsPico,Sphere,0.5,10000000,sequential,1,17.4673,17.4673,17.4673,0,1,17.9896,4978,0,40,dynamic
2025-12-07-22:20:15,picoTree,PointsAoS,HilbertEncoder3D,10000000,neighborsPico,Sphere,1.5,10000000,sequential,1,195.456,195.456,195.456,0,1,198.462,45393,0,40,dynamic
2025-12-07-22:57:25,picoTree,PointsAoS,HilbertEncoder3D,10000000,neighborsPico,Sphere,3,10000000,sequential,1,1105.49,1105.49,1105.49,0,1,1125.28,179181,0,40,dynamic
