date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-05-29-07:08:18,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Sphere,0.05,721810646,sequential,1,182.111,182.111,182.111,0,0,6.94282e-310,198,0,40,dynamic
2025-05-29-07:19:15,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Sphere,0.05,721810646,sequential,1,166.168,166.168,166.168,0,0,6.94282e-310,198,0,40,dynamic
2025-05-29-07:22:19,linOct,Point,MortonEncoder3D,721810646,neighbors,Sphere,0.05,721810646,sequential,1,158.103,158.103,158.103,0,0,0,198,0,40,dynamic
2025-05-29-07:24:58,linOct,Point,MortonEncoder3D,721810646,neighborsPtr,Sphere,0.05,721810646,sequential,1,158.503,158.503,158.503,0,0,4.94066e-323,198,0,40,dynamic
2025-05-29-07:27:49,linOct,Point,MortonEncoder3D,721810646,neighborsStruct,Sphere,0.05,721810646,sequential,1,171.217,171.217,171.217,0,0,4.94066e-323,198,0,40,dynamic
2025-05-29-07:36:54,ptrOct,Point,HilbertEncoder3D,721810646,neighborsPtr,Sphere,0.05,721810646,sequential,1,162.59,162.59,162.59,0,0,5.05923e-321,198,0,40,dynamic
2025-05-29-07:40:02,linOct,Point,HilbertEncoder3D,721810646,neighbors,Sphere,0.05,721810646,sequential,1,157.994,157.994,157.994,0,0,0,198,0,40,dynamic
2025-05-29-07:42:42,linOct,Point,HilbertEncoder3D,721810646,neighborsPtr,Sphere,0.05,721810646,sequential,1,160.323,160.323,160.323,0,0,4.94066e-323,198,0,40,dynamic
2025-05-29-07:45:35,linOct,Point,HilbertEncoder3D,721810646,neighborsStruct,Sphere,0.05,721810646,sequential,1,172.585,172.585,172.585,0,0,4.94066e-323,198,0,40,dynamic
2025-06-01-15:33:07,unibnOctree,Point,NoEncoding,721810646,neighborsUnibn,Sphere,0.25,721810646,sequential,1,877.505,877.505,877.505,0,0,3.20421e-312,4658,0,40,dynamic
2025-06-01-15:49:42,unibnOctree,Point,MortonEncoder3D,721810646,neighborsUnibn,Sphere,0.25,721810646,sequential,1,724.634,724.634,724.634,0,0,3.20421e-312,4658,0,40,dynamic
2025-06-01-16:07:49,unibnOctree,Point,HilbertEncoder3D,721810646,neighborsUnibn,Sphere,0.25,721810646,sequential,1,764.321,764.321,764.321,0,0,3.20421e-312,4658,0,40,dynamic
2025-06-03-05:32:58,pclOct,PCLPointXYZ,NoEncoding,721810646,neighborsPclOct,Sphere,0.25,721810646,sequential,1,1347.66,1347.66,1347.66,0,0,-5.48746e+303,5145,0,40,dynamic
2025-06-03-05:58:48,pclOct,PCLPointXYZ,MortonEncoder3D,721810646,neighborsPclOct,Sphere,0.25,721810646,sequential,1,1233.63,1233.63,1233.63,0,0,-5.48746e+303,5145,0,40,dynamic
2025-06-03-06:24:55,pclOct,PCLPointXYZ,HilbertEncoder3D,721810646,neighborsPclOct,Sphere,0.25,721810646,sequential,1,1226.21,1226.21,1226.21,0,0,2.24743e-307,5145,0,40,dynamic
2025-11-05-22:44:04,nanoKD,PointsAoS,HilbertEncoder3D,721810646,neighborsNanoflann,Sphere,0.05,721810646,sequential,1,226.44,226.44,226.44,0,1,218.034,198,0,40,dynamic
2025-11-05-22:59:07,nanoKD,PointsAoS,HilbertEncoder3D,721810646,neighborsNanoflann,Sphere,0.1,721810646,sequential,1,450.863,450.863,450.863,0,1,452.352,787,0,40,dynamic
2025-11-05-23:44:59,nanoKD,PointsAoS,HilbertEncoder3D,721810646,neighborsNanoflann,Sphere,0.25,721810646,sequential,1,1375.05,1375.05,1375.05,0,1,1376.12,4658,0,40,dynamic
2025-07-01-14:31:38,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Sphere,0.25,721810646,sequential,1,1352.88,1352.88,1352.88,0,0,2.25268e-313,4658,0,40,dynamic
2025-07-01-14:55:13,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Sphere,0.25,721810646,sequential,1,1111.7,1111.7,1111.7,0,0,1.68751e-313,4658,0,40,dynamic
2025-07-01-15:10:54,linOct,Point,MortonEncoder3D,721810646,neighbors,Sphere,0.25,721810646,sequential,1,913.923,913.923,913.923,0,0,6.93276e-310,4658,0,40,dynamic
2025-07-01-15:24:34,linOct,Point,MortonEncoder3D,721810646,neighborsPrune,Sphere,0.25,721810646,sequential,1,820.013,820.013,820.013,0,0,4.94066e-323,4658,0,40,dynamic
2025-07-01-15:32:59,linOct,Point,MortonEncoder3D,721810646,neighborsStruct,Sphere,0.25,721810646,sequential,1,504.974,504.974,504.974,0,0,4.94066e-323,4658,0,40,dynamic
2025-07-01-15:57:29,ptrOct,Point,HilbertEncoder3D,721810646,neighborsPtr,Sphere,0.25,721810646,sequential,1,1126.93,1126.93,1126.93,0,0,3.96264e-313,4658,0,40,dynamic
2025-07-01-16:13:34,linOct,Point,HilbertEncoder3D,721810646,neighbors,Sphere,0.25,721810646,sequential,1,936.017,936.017,936.017,0,0,6.93276e-310,4658,0,40,dynamic
2025-07-01-16:27:00,linOct,Point,HilbertEncoder3D,721810646,neighborsPrune,Sphere,0.25,721810646,sequential,1,805.679,805.679,805.679,0,0,4.94066e-323,4658,0,40,dynamic
2025-07-01-16:34:56,linOct,Point,HilbertEncoder3D,721810646,neighborsStruct,Sphere,0.25,721810646,sequential,1,476.357,476.357,476.357,0,0,4.94066e-323,4658,0,40,dynamic
