date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-05-29-02:44:45,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Sphere,0.01,429615314,sequential,1,178.56,178.56,178.56,0,0,6.95109e-310,456,0,40,dynamic
2025-05-29-02:53:12,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Sphere,0.025,429615314,sequential,1,506.645,506.645,506.645,0,0,6.95109e-310,3711,0,40,dynamic
2025-05-29-03:24:29,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Sphere,0.05,429615314,sequential,1,1877.24,1877.24,1877.24,0,0,6.95109e-310,14526,0,40,dynamic
2025-05-29-03:31:04,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Sphere,0.01,429615314,sequential,1,142.757,142.757,142.757,0,0,6.95109e-310,456,0,40,dynamic
2025-05-29-03:38:15,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Sphere,0.025,429615314,sequential,1,431.047,431.047,431.047,0,0,6.95109e-310,3711,0,40,dynamic
2025-05-29-04:05:59,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Sphere,0.05,429615314,sequential,1,1663.72,1663.72,1663.72,0,0,6.95109e-310,14526,0,40,dynamic
2025-05-29-04:08:23,linOct,Point,MortonEncoder3D,429615314,neighbors,Sphere,0.01,429615314,sequential,1,115.071,115.071,115.071,0,0,0,456,0,40,dynamic
2025-05-29-04:10:01,linOct,Point,MortonEncoder3D,429615314,neighborsPtr,Sphere,0.01,429615314,sequential,1,97.8966,97.8966,97.8966,0,0,4.94066e-323,456,0,40,dynamic
2025-05-29-04:11:29,linOct,Point,MortonEncoder3D,429615314,neighborsStruct,Sphere,0.01,429615314,sequential,1,88.1859,88.1859,88.1859,0,0,4.94066e-323,456,0,40,dynamic
2025-05-29-04:17:41,linOct,Point,MortonEncoder3D,429615314,neighbors,Sphere,0.025,429615314,sequential,1,372.23,372.23,372.23,0,0,4.94066e-323,3711,0,40,dynamic
2025-05-29-04:23:11,linOct,Point,MortonEncoder3D,429615314,neighborsPtr,Sphere,0.025,429615314,sequential,1,330.328,330.328,330.328,0,0,4.94066e-323,3711,0,40,dynamic
