date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-06-01-10:37:39,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Circle,0.5,10000,random,5,0.119156,0.0238312,0.0237402,0.00111014,1,0.0294658,49,0,40,dynamic
2025-06-01-10:37:39,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Sphere,0.5,10000,random,5,0.0390278,0.00780557,0.00782023,5.88005e-05,1,0.00781497,20,0,40,dynamic
2025-06-01-10:37:39,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Square,0.5,10000,random,5,0.111788,0.0223576,0.0223738,0.000349203,1,0.0226509,61,0,40,dynamic
2025-06-01-10:37:39,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Cube,0.5,10000,random,5,0.0332701,0.00665402,0.00666738,4.00082e-05,1,0.0066794,27,0,40,dynamic
2025-06-01-10:37:40,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Circle,1,10000,random,5,0.147779,0.0295558,0.0294989,0.000466698,1,0.0296666,199,0,40,dynamic
2025-06-01-10:37:40,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Sphere,1,10000,random,5,0.0667268,0.0133454,0.0134074,0.000113107,1,0.0132875,87,0,40,dynamic
2025-06-01-10:37:40,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Square,1,10000,random,5,0.148624,0.0297248,0.0297987,0.000236797,1,0.0296109,249,0,40,dynamic
2025-06-01-10:37:40,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Cube,1,10000,random,5,0.05995,0.01199,0.0120311,0.000100701,1,0.0119912,119,0,40,dynamic
2025-06-01-10:37:40,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Circle,2,10000,random,5,0.241645,0.048329,0.0483755,0.00042717,1,0.0486926,771,0,40,dynamic
2025-06-01-10:37:40,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Sphere,2,10000,random,5,0.14062,0.028124,0.0281393,0.000155687,1,0.0282924,375,0,40,dynamic
2025-06-01-10:37:41,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Square,2,10000,random,5,0.252371,0.0504741,0.0488352,0.00365153,1,0.0486756,970,0,40,dynamic
2025-06-01-10:37:41,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Cube,2,10000,random,5,0.135519,0.0271038,0.0264058,0.00136389,1,0.0264006,539,0,40,dynamic
2025-06-01-10:37:41,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Circle,3,10000,random,5,0.35272,0.070544,0.0705491,7.5257e-05,1,0.0740678,1691,0,40,dynamic
2025-06-01-10:37:41,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Sphere,3,10000,random,5,0.236874,0.0473747,0.0473624,0.000109944,1,0.0474752,905,0,40,dynamic
2025-06-01-10:37:42,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Square,3,10000,random,5,0.356205,0.071241,0.0710526,0.00089782,1,0.0775208,2121,0,40,dynamic
2025-06-01-10:37:42,ptrOct,Point,NoEncoding,12219779,neighborsPtr,Cube,3,10000,random,5,0.258251,0.0516501,0.0493995,0.00488977,1,0.0458608,1337,0,40,dynamic
2025-06-01-10:37:44,unibnOctree,Point,NoEncoding,12219779,neighborsUnibn,Sphere,0.5,10000,random,5,0.0365446,0.00730893,0.00731045,0.000102992,1,0.00720453,20,0,40,dynamic
2025-06-01-10:37:44,unibnOctree,Point,NoEncoding,12219779,neighborsUnibn,Cube,0.5,10000,random,5,0.0369494,0.00738989,0.00739557,9.57613e-05,1,0.0112516,27,0,40,dynamic
