date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-06-01-10:30:33,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Circle,0.5,10000,random,5,1.02579,0.205159,0.200737,0.0107072,1,0.250646,5205,0,40,dynamic
2025-06-01-10:30:34,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Sphere,0.5,10000,random,5,0.438506,0.0877012,0.0878938,0.00226474,1,0.0888889,2052,0,40,dynamic
2025-06-01-10:30:35,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Square,0.5,10000,random,5,0.914081,0.182816,0.183242,0.00252564,1,0.185088,6303,0,40,dynamic
2025-06-01-10:30:35,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Cube,0.5,10000,random,5,0.398195,0.0796391,0.0795935,0.00074728,1,0.0805564,2747,0,40,dynamic
2025-06-01-10:30:37,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Circle,1,10000,random,5,1.88219,0.376437,0.377338,0.00298837,1,0.381734,14872,0,40,dynamic
2025-06-01-10:30:39,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Sphere,1,10000,random,5,1.12933,0.225866,0.226189,0.00314239,1,0.22726,8241,0,40,dynamic
2025-06-01-10:30:41,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Square,1,10000,random,5,1.87767,0.375534,0.375579,0.00251046,1,0.375041,18212,0,40,dynamic
2025-06-01-10:30:42,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Cube,1,10000,random,5,1.15524,0.231048,0.231322,0.00207775,1,0.230449,11133,0,40,dynamic
2025-06-01-10:30:48,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Circle,2,10000,random,5,4.76463,0.952927,0.949767,0.0102623,1,0.955219,45063,0,40,dynamic
2025-06-01-10:30:52,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Sphere,2,10000,random,5,3.68362,0.736725,0.740616,0.00837786,1,0.7329,32557,0,40,dynamic
2025-06-01-10:30:58,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Square,2,10000,random,5,4.69212,0.938424,0.939608,0.00431564,1,0.952964,55558,0,40,dynamic
2025-06-01-10:31:03,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Cube,2,10000,random,5,3.81469,0.762937,0.757835,0.0126021,1,0.753638,43331,0,40,dynamic
2025-06-01-10:31:13,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Circle,3,10000,random,5,8.69321,1.73864,1.74178,0.0111955,1,1.73889,88869,0,40,dynamic
2025-06-01-10:31:22,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Sphere,3,10000,random,5,7.52136,1.50427,1.51055,0.0160801,1,1.50498,71234,0,40,dynamic
2025-06-01-10:31:33,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Square,3,10000,random,5,9.01282,1.80256,1.80388,0.00949012,1,1.81636,110508,0,40,dynamic
2025-06-01-10:31:43,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Cube,3,10000,random,5,7.98787,1.59757,1.60189,0.0181999,1,1.61051,94396,0,40,dynamic
2025-06-01-10:31:44,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Sphere,0.5,10000,random,5,0.238817,0.0477633,0.0475188,0.00103647,1,0.0504304,2052,0,40,dynamic
2025-06-01-10:31:44,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Cube,0.5,10000,random,5,0.253928,0.0507856,0.050809,0.000275583,1,0.0511572,2747,0,40,dynamic
2025-06-01-10:31:45,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Sphere,1,10000,random,5,0.490187,0.0980375,0.0981728,0.000375616,1,0.0979885,8241,0,40,dynamic
2025-06-01-10:31:46,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Cube,1,10000,random,5,0.561599,0.11232,0.11239,0.000529593,1,0.112325,11133,0,40,dynamic
2025-06-01-10:31:47,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Sphere,2,10000,random,5,1.1133,0.22266,0.222895,0.000633172,1,0.221539,32557,0,40,dynamic
2025-06-01-10:31:49,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Cube,2,10000,random,5,1.30911,0.261822,0.262207,0.000639017,1,0.25967,43331,0,40,dynamic
2025-06-01-10:31:51,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Sphere,3,10000,random,5,1.89921,0.379842,0.380455,0.00160644,1,0.377303,71234,0,40,dynamic
2025-06-01-10:31:54,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Cube,3,10000,random,5,2.34231,0.468462,0.469485,0.00222905,1,0.466372,94396,0,40,dynamic
2025-06-01-10:31:58,pclKD,PCLPointXYZ,NoEncoding,10000000,neighborsPclKD,Sphere,0.5,10000,random,5,0.296955,0.0593909,0.0594566,0.000271593,1,0.0590623,2052,0,40,dynamic
2025-06-01-10:31:59,pclKD,PCLPointXYZ,NoEncoding,10000000,neighborsPclKD,Sphere,1,10000,random,5,1.18958,0.237915,0.23805,0.00110714,1,0.237829,8241,0,40,dynamic
2025-06-01-10:32:05,pclKD,PCLPointXYZ,NoEncoding,10000000,neighborsPclKD,Sphere,2,10000,random,5,4.96017,0.992035,0.992521,0.00517633,1,0.985311,32557,0,40,dynamic
2025-06-01-10:32:19,pclKD,PCLPointXYZ,NoEncoding,10000000,neighborsPclKD,Sphere,3,10000,random,5,11.4034,2.28068,2.28105,0.0140314,1,2.26852,71234,0,40,dynamic
2025-06-01-10:32:23,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Circle,0.5,10000,random,5,0.863563,0.172713,0.171412,0.00311016,1,0.179833,5221,0,40,dynamic
2025-06-01-10:32:23,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Sphere,0.5,10000,random,5,0.334813,0.0669626,0.0671154,0.000780183,1,0.0686813,2057,0,40,dynamic
