date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-06-01-10:38:34,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Circle,0.5,10000,random,5,2.27456,0.454912,0.447764,0.02072,1,0.531981,13555,0,40,dynamic
2025-06-01-10:38:35,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Sphere,0.5,10000,random,5,0.816164,0.163233,0.163578,0.00340435,1,0.170857,4998,0,40,dynamic
2025-06-01-10:38:38,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Square,0.5,10000,random,5,2.10296,0.420591,0.42288,0.00418983,1,0.429605,16598,0,40,dynamic
2025-06-01-10:38:39,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Cube,0.5,10000,random,5,0.795293,0.159059,0.157683,0.00383127,1,0.159071,6656,0,40,dynamic
2025-06-01-10:38:45,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Circle,1,10000,random,5,5.09184,1.01837,1.02293,0.0202973,1,1.05839,42141,0,40,dynamic
2025-06-01-10:38:48,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Sphere,1,10000,random,5,2.46553,0.493106,0.494797,0.00977863,1,0.498947,20152,0,40,dynamic
2025-06-01-10:38:54,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Square,1,10000,random,5,4.87446,0.974891,0.977288,0.00811101,1,0.99498,51975,0,40,dynamic
2025-06-01-10:38:57,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Cube,1,10000,random,5,2.47683,0.495367,0.495745,0.00412266,1,0.495975,26986,0,40,dynamic
2025-06-01-10:39:13,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Circle,2,10000,random,5,13.3826,2.67652,2.68232,0.0183117,1,2.6976,134883,0,40,dynamic
2025-06-01-10:39:23,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Sphere,2,10000,random,5,8.6935,1.7387,1.75077,0.0178937,1,1.75369,80850,0,40,dynamic
2025-06-01-10:39:40,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Square,2,10000,random,5,13.6648,2.73296,2.74199,0.0162912,1,2.75266,166846,0,40,dynamic
2025-06-01-10:39:51,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Cube,2,10000,random,5,9.18339,1.83668,1.83249,0.011809,1,1.83989,108549,0,40,dynamic
2025-06-01-10:40:21,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Circle,3,10000,random,5,24.9921,4.99841,5.01284,0.0247063,1,5.02734,269184,0,40,dynamic
2025-06-01-10:40:43,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Sphere,3,10000,random,5,18.7005,3.7401,3.73158,0.0207308,1,3.72315,179478,0,40,dynamic
2025-06-01-10:41:15,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Square,3,10000,random,5,26.2795,5.25591,5.25461,0.0244773,1,5.25653,333114,0,40,dynamic
2025-06-01-10:41:39,ptrOct,Point,NoEncoding,10000000,neighborsPtr,Cube,3,10000,random,5,20.0142,4.00285,3.9981,0.0164277,1,4.01046,241578,0,40,dynamic
2025-06-01-10:41:41,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Sphere,0.5,10000,random,5,0.443717,0.0887434,0.0891934,0.00150304,1,0.0947585,4998,0,40,dynamic
2025-06-01-10:41:41,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Cube,0.5,10000,random,5,0.477747,0.0955494,0.0958529,0.000596355,1,0.096066,6656,0,40,dynamic
2025-06-01-10:41:42,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Sphere,1,10000,random,5,0.994526,0.198905,0.198913,0.00153976,1,0.199178,20152,0,40,dynamic
2025-06-01-10:41:44,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Cube,1,10000,random,5,1.15414,0.230829,0.23047,0.00156161,1,0.229607,26986,0,40,dynamic
2025-06-01-10:41:47,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Sphere,2,10000,random,5,2.61643,0.523286,0.521926,0.00309198,1,0.521986,80850,0,40,dynamic
2025-06-01-10:41:51,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Cube,2,10000,random,5,3.15726,0.631452,0.631763,0.00258291,1,0.630137,108549,0,40,dynamic
2025-06-01-10:41:57,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Sphere,3,10000,random,5,4.8246,0.96492,0.966985,0.00358267,1,0.962714,179478,0,40,dynamic
2025-06-01-10:42:04,unibnOctree,Point,NoEncoding,10000000,neighborsUnibn,Cube,3,10000,random,5,5.92819,1.18564,1.18426,0.00558927,1,1.18519,241578,0,40,dynamic
2025-06-01-10:42:09,pclKD,PCLPointXYZ,NoEncoding,10000000,neighborsPclKD,Sphere,0.5,10000,random,5,0.741553,0.148311,0.148113,0.00151582,1,0.149368,4998,0,40,dynamic
2025-06-01-10:42:12,pclKD,PCLPointXYZ,NoEncoding,10000000,neighborsPclKD,Sphere,1,10000,random,5,3.12096,0.624192,0.623439,0.0062694,1,0.626153,20152,0,40,dynamic
2025-06-01-10:42:29,pclKD,PCLPointXYZ,NoEncoding,10000000,neighborsPclKD,Sphere,2,10000,random,5,13.6423,2.72845,2.72266,0.0230975,1,2.7259,80850,0,40,dynamic
2025-06-01-10:43:07,pclKD,PCLPointXYZ,NoEncoding,10000000,neighborsPclKD,Sphere,3,10000,random,5,32.2264,6.44529,6.41808,0.0452942,1,6.43962,179478,0,40,dynamic
