date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-06-01-12:49:44,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Circle,0.01,10000,random,5,1.3615,0.272299,0.248235,0.105481,1,0.867923,202,0,40,dynamic
2025-06-01-12:49:44,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Sphere,0.01,10000,random,5,0.0244784,0.00489567,0.00491768,0.000105228,1,0.00492913,7,0,40,dynamic
2025-06-01-12:49:44,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Square,0.01,10000,random,5,0.677478,0.135496,0.135063,0.00134293,1,0.135504,247,0,40,dynamic
2025-06-01-12:49:44,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Cube,0.01,10000,random,5,0.0227362,0.00454725,0.00455505,3.10336e-05,1,0.00460587,11,0,40,dynamic
2025-06-01-12:49:46,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Circle,0.05,10000,random,5,1.28918,0.257836,0.255977,0.00884238,1,0.276926,3212,0,40,dynamic
2025-06-01-12:49:46,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Sphere,0.05,10000,random,5,0.0709448,0.014189,0.0142145,0.000376207,1,0.0137625,189,0,40,dynamic
2025-06-01-12:49:48,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Square,0.05,10000,random,5,1.23241,0.246482,0.244457,0.00273177,1,0.247266,3886,0,40,dynamic
2025-06-01-12:49:48,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Cube,0.05,10000,random,5,0.0697196,0.0139439,0.0140895,0.000320928,1,0.0134685,272,0,40,dynamic
2025-06-01-12:49:50,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Circle,0.1,10000,random,5,2.07787,0.415573,0.413554,0.00770059,1,0.420312,9375,0,40,dynamic
2025-06-01-12:49:50,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Sphere,0.1,10000,random,5,0.169874,0.0339748,0.0333187,0.00258097,1,0.0390404,749,0,40,dynamic
2025-06-01-12:49:53,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Square,0.1,10000,random,5,2.05811,0.411623,0.414622,0.00398546,1,0.409238,11228,0,40,dynamic
2025-06-01-12:49:53,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Cube,0.1,10000,random,5,0.165781,0.0331563,0.0332936,0.0012733,1,0.0310209,1053,0,40,dynamic
2025-06-01-12:49:58,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Circle,0.2,10000,random,5,3.93081,0.786161,0.780055,0.00988612,1,0.796723,26474,0,40,dynamic
2025-06-01-12:49:58,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Sphere,0.2,10000,random,5,0.446149,0.0892299,0.0899021,0.00246066,1,0.0867283,2904,0,40,dynamic
2025-06-01-12:50:03,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Square,0.2,10000,random,5,3.96168,0.792335,0.793808,0.00653245,1,0.788498,31445,0,40,dynamic
2025-06-01-12:50:04,ptrOct,Point,NoEncoding,721810646,neighborsPtr,Cube,0.2,10000,random,5,0.447254,0.0894508,0.0900147,0.00257243,1,0.0867413,3984,0,40,dynamic
2025-06-01-12:51:46,unibnOctree,Point,NoEncoding,721810646,neighborsUnibn,Sphere,0.01,10000,random,5,0.193148,0.0386296,0.0450395,0.0151757,1,0.0581566,7,0,40,dynamic
2025-06-01-12:51:46,unibnOctree,Point,NoEncoding,721810646,neighborsUnibn,Cube,0.01,10000,random,5,0.0447803,0.00895606,0.00896838,5.93942e-05,1,0.00871164,11,0,40,dynamic
2025-06-01-12:51:46,unibnOctree,Point,NoEncoding,721810646,neighborsUnibn,Sphere,0.05,10000,random,5,0.161334,0.0322668,0.0357637,0.00904258,1,0.0404279,189,0,40,dynamic
2025-06-01-12:51:46,unibnOctree,Point,NoEncoding,721810646,neighborsUnibn,Cube,0.05,10000,random,5,0.0672074,0.0134415,0.0136428,0.00150715,1,0.0148331,272,0,40,dynamic
2025-06-01-12:51:46,unibnOctree,Point,NoEncoding,721810646,neighborsUnibn,Sphere,0.1,10000,random,5,0.159483,0.0318965,0.0346388,0.00640517,1,0.0376076,749,0,40,dynamic
2025-06-01-12:51:47,unibnOctree,Point,NoEncoding,721810646,neighborsUnibn,Cube,0.1,10000,random,5,0.120109,0.0240217,0.0247933,0.00142688,1,0.0238899,1053,0,40,dynamic
2025-06-01-12:51:47,unibnOctree,Point,NoEncoding,721810646,neighborsUnibn,Sphere,0.2,10000,random,5,0.282977,0.0565953,0.0594192,0.0080903,1,0.0665742,2904,0,40,dynamic
2025-06-01-12:51:47,unibnOctree,Point,NoEncoding,721810646,neighborsUnibn,Cube,0.2,10000,random,5,0.25171,0.050342,0.0512128,0.00216033,1,0.0508561,3984,0,40,dynamic
2025-06-01-12:57:29,pclKD,PCLPointXYZ,NoEncoding,721810646,neighborsPclKD,Sphere,0.01,10000,random,5,0.0626398,0.012528,0.0133285,0.00259818,1,0.0282885,157,0,40,dynamic
2025-06-01-12:57:30,pclKD,PCLPointXYZ,NoEncoding,721810646,neighborsPclKD,Sphere,0.05,10000,random,5,0.0916452,0.018329,0.0180282,0.000660968,1,0.0218686,459,0,40,dynamic
2025-06-01-12:57:30,pclKD,PCLPointXYZ,NoEncoding,721810646,neighborsPclKD,Sphere,0.1,10000,random,5,0.292511,0.0585023,0.0585796,0.0022921,1,0.0580444,1603,0,40,dynamic
2025-06-01-12:57:31,pclKD,PCLPointXYZ,NoEncoding,721810646,neighborsPclKD,Sphere,0.2,10000,random,5,0.728033,0.145607,0.144053,0.00816634,1,0.137746,4155,0,40,dynamic
2025-06-01-13:02:40,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Circle,0.01,10000,random,5,0.668072,0.133614,0.133778,0.000885493,1,0.150762,212,0,40,dynamic
2025-06-01-13:02:40,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Sphere,0.01,10000,random,5,0.0200288,0.00400575,0.00400924,2.69143e-05,1,0.00418159,7,0,40,dynamic
2025-06-01-13:02:41,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Square,0.01,10000,random,5,0.676178,0.135236,0.135483,0.000439644,1,0.135446,257,0,40,dynamic
2025-06-01-13:02:41,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Cube,0.01,10000,random,5,0.0200405,0.0040081,0.00400553,3.03614e-05,1,0.00411421,11,0,40,dynamic
2025-06-01-13:02:43,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Circle,0.05,10000,random,5,1.23268,0.246537,0.244362,0.00307801,1,0.240764,3184,0,40,dynamic
2025-06-01-13:02:43,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Sphere,0.05,10000,random,5,0.0643519,0.0128704,0.0126955,0.000419778,1,0.0127623,193,0,40,dynamic
2025-06-01-13:02:44,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Square,0.05,10000,random,5,1.25036,0.250071,0.248877,0.00244245,1,0.247925,3840,0,40,dynamic
2025-06-01-13:02:44,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Cube,0.05,10000,random,5,0.0653603,0.0130721,0.0127522,0.000487355,1,0.0128514,276,0,40,dynamic
2025-06-01-13:02:47,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Circle,0.1,10000,random,5,2.05579,0.411158,0.410114,0.00323449,1,0.4062,9307,0,40,dynamic
2025-06-01-13:02:47,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Sphere,0.1,10000,random,5,0.154302,0.0308605,0.0303011,0.00134215,1,0.0299811,768,0,40,dynamic
2025-06-01-13:02:50,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Square,0.1,10000,random,5,2.09135,0.418271,0.417454,0.00392399,1,0.412564,11141,0,40,dynamic
2025-06-01-13:02:50,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Cube,0.1,10000,random,5,0.155073,0.0310147,0.0308254,0.000929153,1,0.0303696,1079,0,40,dynamic
2025-06-01-13:02:54,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Circle,0.2,10000,random,5,3.96551,0.793102,0.790637,0.00844125,1,0.786539,26055,0,40,dynamic
2025-06-01-13:02:55,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Sphere,0.2,10000,random,5,0.427599,0.0855197,0.0843732,0.00234703,1,0.0840083,2963,0,40,dynamic
2025-06-01-13:03:00,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Square,0.2,10000,random,5,4.03539,0.807078,0.803949,0.00788563,1,0.800178,30956,0,40,dynamic
2025-06-01-13:03:00,ptrOct,Point,MortonEncoder3D,721810646,neighborsPtr,Cube,0.2,10000,random,5,0.436505,0.0873009,0.0860933,0.00301925,1,0.0851936,4052,0,40,dynamic
2025-06-01-13:03:22,linOct,Point,MortonEncoder3D,721810646,neighbors,Circle,0.01,10000,random,5,0.44013,0.0880259,0.0875722,0.0024941,1,0.0939325,212,0,40,dynamic
2025-06-01-13:03:22,linOct,Point,MortonEncoder3D,721810646,neighbors,Sphere,0.01,10000,random,5,0.0108672,0.00217343,0.00217787,2.01414e-05,1,0.00225218,7,0,40,dynamic
2025-06-01-13:03:22,linOct,Point,MortonEncoder3D,721810646,neighbors,Square,0.01,10000,random,5,0.42943,0.085886,0.0856077,0.000677385,1,0.0857313,257,0,40,dynamic
2025-06-01-13:03:22,linOct,Point,MortonEncoder3D,721810646,neighbors,Cube,0.01,10000,random,5,0.0113389,0.00226778,0.00226093,3.13937e-05,1,0.00229503,11,0,40,dynamic
2025-06-01-13:03:23,linOct,Point,MortonEncoder3D,721810646,neighborsPrune,Circle,0.01,10000,random,5,0.412647,0.0825294,0.0826753,0.000635368,1,0.0823533,212,0,40,dynamic
2025-06-01-13:03:23,linOct,Point,MortonEncoder3D,721810646,neighborsPrune,Sphere,0.01,10000,random,5,0.0105754,0.00211508,0.00211704,1.2695e-05,1,0.00219025,7,0,40,dynamic
2025-06-01-13:03:23,linOct,Point,MortonEncoder3D,721810646,neighborsPrune,Square,0.01,10000,random,5,0.421521,0.0843042,0.0842657,0.00025203,1,0.0844901,257,0,40,dynamic
2025-06-01-13:03:23,linOct,Point,MortonEncoder3D,721810646,neighborsPrune,Cube,0.01,10000,random,5,0.0108899,0.00217798,0.00217941,1.58858e-05,1,0.00224918,11,0,40,dynamic
2025-06-01-13:03:24,linOct,Point,MortonEncoder3D,721810646,neighborsStruct,Circle,0.01,10000,random,5,0.412065,0.082413,0.0824372,0.00036424,1,0.0825354,212,0,40,dynamic
2025-06-01-13:03:24,linOct,Point,MortonEncoder3D,721810646,neighborsStruct,Sphere,0.01,10000,random,5,0.0111821,0.00223643,0.00222931,1.30048e-05,1,0.00231979,7,0,40,dynamic
2025-06-01-13:03:24,linOct,Point,MortonEncoder3D,721810646,neighborsStruct,Square,0.01,10000,random,5,0.415597,0.0831194,0.0831986,0.000404152,1,0.0827887,257,0,40,dynamic
2025-06-01-13:03:24,linOct,Point,MortonEncoder3D,721810646,neighborsStruct,Cube,0.01,10000,random,5,0.0114736,0.00229473,0.00229631,2.33647e-05,1,0.00237722,11,0,40,dynamic
2025-06-01-13:03:25,linOct,Point,MortonEncoder3D,721810646,neighbors,Circle,0.05,10000,random,5,0.834865,0.166973,0.167673,0.0014282,1,0.164954,3184,0,40,dynamic
2025-06-01-13:03:25,linOct,Point,MortonEncoder3D,721810646,neighbors,Sphere,0.05,10000,random,5,0.0395351,0.00790702,0.00781086,0.000207311,1,0.00780848,193,0,40,dynamic
