date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-06-01-10:55:56,ptrOct,Point,NoEncoding,29697591,neighborsPtr,Circle,0.01,10000,random,5,0.322159,0.0644319,0.0637214,0.00149891,1,0.0790416,447,0,40,dynamic
2025-06-01-10:55:56,ptrOct,Point,NoEncoding,29697591,neighborsPtr,Sphere,0.01,10000,random,5,0.058936,0.0117872,0.0117885,0.000123321,1,0.0119405,69,0,40,dynamic
2025-06-01-10:55:56,ptrOct,Point,NoEncoding,29697591,neighborsPtr,Square,0.01,10000,random,5,0.330408,0.0660815,0.0658631,0.000763989,1,0.0664909,510,0,40,dynamic
2025-06-01-10:55:56,ptrOct,Point,NoEncoding,29697591,neighborsPtr,Cube,0.01,10000,random,5,0.0576399,0.011528,0.0115433,4.32992e-05,1,0.0114737,76,0,40,dynamic
2025-06-01-10:55:58,ptrOct,Point,NoEncoding,29697591,neighborsPtr,Circle,0.05,10000,random,5,1.18737,0.237474,0.238123,0.00116846,1,0.246093,6351,0,40,dynamic
2025-06-01-10:55:58,ptrOct,Point,NoEncoding,29697591,neighborsPtr,Sphere,0.05,10000,random,5,0.412833,0.0825665,0.0824937,0.00104276,1,0.0832818,2019,0,40,dynamic
2025-06-01-10:56:00,ptrOct,Point,NoEncoding,29697591,neighborsPtr,Square,0.05,10000,random,5,1.12806,0.225612,0.231401,0.0125771,1,0.235114,7888,0,40,dynamic
2025-06-01-10:56:00,ptrOct,Point,NoEncoding,29697591,neighborsPtr,Cube,0.05,10000,random,5,0.359006,0.0718013,0.0715636,0.0010693,1,0.073494,3223,0,40,dynamic
2025-06-01-10:56:03,ptrOct,Point,NoEncoding,29697591,neighborsPtr,Circle,0.1,10000,random,5,2.41467,0.482935,0.481782,0.00538975,1,0.491773,20291,0,40,dynamic
2025-06-01-10:56:04,ptrOct,Point,NoEncoding,29697591,neighborsPtr,Sphere,0.1,10000,random,5,1.05728,0.211455,0.210261,0.00433341,1,0.221478,8606,0,40,dynamic
2025-06-01-10:56:07,ptrOct,Point,NoEncoding,29697591,neighborsPtr,Square,0.1,10000,random,5,2.26515,0.453029,0.452394,0.00263152,1,0.454851,24870,0,40,dynamic
