date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-06-01-11:05:41,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Circle,0.01,10000,random,5,6.09621,1.21924,1.21048,0.0242249,1,2.61767,25352,0,40,dynamic
2025-06-01-11:05:41,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Sphere,0.01,10000,random,5,0.156607,0.0313215,0.0311252,0.000402547,1,0.0314154,455,0,40,dynamic
2025-06-01-11:05:48,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Square,0.01,10000,random,5,5.92538,1.18508,1.17717,0.0134506,1,1.20328,28127,0,40,dynamic
2025-06-01-11:05:49,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Cube,0.01,10000,random,5,0.181623,0.0363246,0.0338342,0.00579746,1,0.0303413,501,0,40,dynamic
2025-06-01-11:06:29,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Circle,0.05,10000,random,5,34.0208,6.80416,6.83849,0.114968,1,6.8627,288751,0,40,dynamic
2025-06-01-11:06:32,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Sphere,0.05,10000,random,5,1.98098,0.396197,0.396418,0.00734439,1,0.392885,14484,0,40,dynamic
2025-06-01-11:07:13,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Square,0.05,10000,random,5,34.3869,6.87737,6.91414,0.127406,1,6.97101,328625,0,40,dynamic
2025-06-01-11:07:16,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Cube,0.05,10000,random,5,1.95803,0.391606,0.387722,0.00559584,1,0.393771,21388,0,40,dynamic
2025-06-01-11:08:49,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Circle,0.1,10000,random,5,77.3032,15.4606,15.3292,0.264669,1,15.9119,750632,0,40,dynamic
2025-06-01-11:08:57,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Sphere,0.1,10000,random,5,6.87579,1.37516,1.37414,0.0127004,1,1.38483,58634,0,40,dynamic
2025-06-01-11:10:28,ptrOct,Point,NoEncoding,429615314,neighborsPtr,Square,0.1,10000,random,5,75.9066,15.1813,15.1743,0.208877,1,15.3566,844892,0,40,dynamic
